Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch,match_id,Map
SLK,2,2,100.0,3,2,67.0,2,1,50.0,4,3,75.0,14,7,50.0,paiN,1.0,2.02,10308,HAVEN
Vorax,2,2,100.0,2,2,100.0,3,0,0.0,6,2,33.0,7,1,14.0,SLK,1.0,2.02,10310,SPLIT
SLK,0,2,0.0,4,0,0.0,0,0,,2,2,100.0,12,11,92.0,Vorax,1.0,2.02,10310,SPLIT
Vorax,1,2,50.0,3,1,33.0,4,0,0.0,2,2,100.0,11,4,36.0,SLK,1.0,2.02,10310,HAVEN
SLK,1,2,50.0,3,1,33.0,0,0,,5,4,80.0,12,8,67.0,Vorax,1.0,2.02,10310,HAVEN
SLK,1,2,50.0,3,1,33.0,2,0,0.0,4,2,50.0,15,10,67.0,B4,1.0,2.02,10341,SPLIT
B4,1,2,50.0,3,1,33.0,2,0,0.0,5,3,60.0,14,7,50.0,SLK,1.0,2.02,10341,SPLIT
GLB,2,2,100.0,2,2,100.0,1,1,100.0,4,2,50.0,10,8,80.0,SLK,1.0,2.02,10319,BIND
SLK,0,2,0.0,3,0,0.0,2,0,0.0,8,3,38.0,4,1,25.0,GLB,1.0,2.02,10319,BIND
GLB,1,2,50.0,3,1,33.0,0,0,,4,3,75.0,12,9,75.0,SLK,1.0,2.02,10319,SPLIT
SLK,1,2,50.0,3,1,33.0,3,0,0.0,2,1,50.0,11,4,36.0,GLB,1.0,2.02,10319,SPLIT
SLK,1,2,50.0,3,1,33.0,2,0,0.0,9,4,44.0,5,1,20.0,Vorax,1.0,2.02,10344,SPLIT
Vorax,1,2,50.0,3,1,33.0,0,0,,2,2,100.0,14,10,71.0,SLK,1.0,2.02,10344,SPLIT
