Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team_x,Opp_Team_x,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch_x,total_rounds,win_rate,KPR,DPR,APR,FKPR,FKWR,FDPR,ct_wr,t_wr,RESULT,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,Team_y,Opp_Team_y,Patch_y,total_mult_kill,total_clutch,MKPR,CPR,0,astra,breach,brimstone,cypher,jett,killjoy,omen,phoenix,raze,reyna,sage,skye,sova,viper,yoru
prozin,cypher,37,1,15,5,-14,29.7,18,0,5,-5,6526,RED,GL,3,13,2,2,1,11,ASCENT,0.0,16,18.75,0.06,0.94,0.31,0.0,0.0,0.31,50.0,8.33,L,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,RED,GL,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mwzera,raze,364,22,6,5,16,238.3,19,3,1,2,6526,GL,RED,13,3,11,1,2,2,ASCENT,0.0,16,81.25,1.38,0.38,0.31,0.19,75.0,0.06,91.67,50.0,W,1,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,131,0,1,GL,RED,0.0,5.0,0.0,0.31,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jonn,reyna,355,23,6,5,17,171.3,27,2,0,2,6526,GL,RED,13,3,11,1,2,2,ASCENT,0.0,16,81.25,1.44,0.38,0.31,0.12,100.0,0.0,91.67,50.0,W,4,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,105,0,0,GL,RED,0.0,7.0,0.0,0.44,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
fznnn,sova,237,13,6,8,7,134.3,22,3,1,2,6526,GL,RED,13,3,11,1,2,2,ASCENT,0.0,16,81.25,0.81,0.38,0.5,0.19,75.0,0.06,91.67,50.0,W,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,0,0,GL,RED,0.0,3.0,0.0,0.19,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
JhoW,cypher,231,11,8,8,3,151.6,18,3,0,3,6526,GL,RED,13,3,11,1,2,2,ASCENT,0.0,16,81.25,0.69,0.5,0.5,0.19,100.0,0.0,91.67,50.0,W,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,71,1,0,GL,RED,0.0,2.0,0.0,0.12,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nyang,omen,65,4,6,3,-2,40.1,38,1,2,-1,6526,GL,RED,13,3,11,1,2,2,ASCENT,0.0,16,81.25,0.25,0.38,0.19,0.06,33.33,0.12,91.67,50.0,W,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,2,0,GL,RED,0.0,1.0,0.0,0.06,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Masu,omen,235,21,16,3,5,139.6,32,0,1,-1,6526,RED,GL,11,13,9,3,2,10,SPLIT,0.0,24,45.83,0.88,0.67,0.12,0.0,0.0,0.04,75.0,16.67,L,5,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55,0,0,RED,GL,0.0,7.0,0.0,0.29,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FV,raze,220,18,21,5,-3,137.1,16,4,6,-2,6526,RED,GL,11,13,9,3,2,10,SPLIT,0.0,24,45.83,0.75,0.88,0.21,0.17,40.0,0.25,75.0,16.67,L,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,2,0,RED,GL,0.0,3.0,0.0,0.12,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
prozin,cypher,191,15,19,7,-4,108.9,20,6,3,3,6526,RED,GL,11,13,9,3,2,10,SPLIT,0.0,24,45.83,0.62,0.79,0.29,0.25,66.67,0.12,75.0,16.67,L,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,1,0,RED,GL,0.0,3.0,0.0,0.12,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pollo,jett,169,15,14,2,1,110.5,28,2,2,0,6526,RED,GL,11,13,9,3,2,10,SPLIT,0.0,24,45.83,0.62,0.58,0.08,0.08,50.0,0.08,75.0,16.67,L,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0,1,RED,GL,0.0,4.0,0.0,0.17,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
pepa,breach,144,11,19,13,-8,104.3,21,0,0,0,6526,RED,GL,11,13,9,3,2,10,SPLIT,0.0,24,45.83,0.46,0.79,0.54,0.0,0.0,0.0,75.0,16.67,L,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,2,0,RED,GL,0.0,2.0,0.0,0.08,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
