Team,Map,ACS,K,D,A,KD_DIFF,ADR,HS%,ECON,FK,FD,KPR,DPR,APR,FKPR,FDPR,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,PL,DE,total_mult_kill,MKPR,total_clutch,CPR,jett,raze,phoenix,reyna,yoru,omen,brimstone,viper,cypher,sage,killjoy,breach,sova,skye,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,total_rounds,win_rate,ct_wr,t_wr,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR
FURIA,ICEBOX,230.0,16.47,12.93,6.0,3.53,148.78,18.53,63.47,13.0,7.67,4.07,3.03,1.48,0.64,0.35,13.33,6.0,1.0,0.0,0.67,0.0,0.0,0.0,0.0,6.33,3.33,20.33,1.02,0.67,0.03,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11.67,9.0,6.67,5.33,5.0,3.67,20.67,58.78,55.56,65.56,1.33,2.0,66.67,2.67,1.67,66.67,1.0,0.0,0.0,4.67,4.0,90.33,12.33,6.0,50.67
GL,ASCENT,212.01,16.06,14.1,6.45,1.96,131.56,20.64,54.3,11.71,9.95,3.75,3.19,1.5,0.56,0.45,14.38,4.52,1.33,0.19,1.1,0.43,0.14,0.0,0.0,6.52,2.05,20.43,0.96,1.67,0.08,0.52,0.43,0.05,0.19,0.0,1.0,0.0,0.0,0.86,0.81,0.14,0.0,1.0,0.0,12.43,9.24,6.9,3.95,5.0,4.67,21.67,59.29,63.58,54.85,1.1,2.0,54.76,2.76,1.14,45.48,1.05,0.14,9.52,4.0,2.62,70.62,13.86,8.52,61.67
GL,BIND,214.33,14.21,11.89,5.6,2.32,130.57,20.96,54.73,10.53,8.4,3.8,3.09,1.48,0.57,0.44,12.73,5.33,0.4,0.13,0.8,1.07,0.2,0.07,0.0,6.33,1.6,18.6,1.01,2.13,0.12,0.27,0.87,0.27,0.6,0.0,1.0,0.0,0.0,1.0,0.27,0.0,0.0,0.73,0.0,11.73,7.2,6.13,3.2,5.47,4.0,18.93,63.92,67.4,62.13,1.33,2.0,66.67,2.73,1.47,63.87,0.73,0.2,13.33,4.6,3.2,72.6,10.87,6.87,63.27
GL,HAVEN,209.69,15.16,13.85,6.42,1.31,130.77,20.47,53.05,11.18,9.55,3.7,3.3,1.54,0.56,0.45,12.91,4.82,1.27,0.09,1.45,0.36,0.45,0.0,0.0,7.82,1.82,19.09,0.93,2.27,0.12,0.36,0.73,0.27,0.55,0.0,1.0,0.0,0.0,0.82,0.18,0.0,0.09,1.0,0.0,11.55,9.18,5.0,5.27,6.27,3.55,20.73,57.4,50.56,64.91,1.0,2.0,50.0,3.09,1.36,46.91,0.82,0.0,0.0,4.18,2.18,62.91,12.64,8.0,62.45
GL,ICEBOX,216.4,15.7,12.7,5.8,3.0,141.68,17.35,59.8,12.25,8.25,3.84,3.09,1.41,0.6,0.41,14.0,4.25,0.75,0.25,0.5,1.0,0.25,0.0,0.0,10.75,2.25,19.25,0.95,1.75,0.08,1.0,0.75,0.0,0.25,0.0,1.0,0.0,0.0,0.25,0.75,0.0,0.0,1.0,0.0,13.0,7.5,5.75,2.75,7.25,4.75,20.5,63.6,68.1,60.42,1.0,2.0,50.0,2.75,1.0,37.25,0.75,0.25,25.0,4.5,2.75,61.75,12.5,9.0,72.5
GL,SPLIT,218.83,14.89,12.44,5.74,2.44,134.58,17.84,58.79,10.36,8.86,3.9,3.19,1.5,0.54,0.46,13.93,4.5,0.93,0.14,1.07,0.43,0.14,0.0,0.0,7.0,1.21,19.5,1.03,1.64,0.08,0.93,1.0,0.0,0.07,0.0,1.0,0.0,0.0,1.0,0.29,0.0,0.71,0.0,0.0,11.71,7.5,6.0,3.0,5.5,4.5,19.21,62.04,65.21,54.04,1.21,2.0,60.71,2.79,1.29,52.86,1.21,0.36,23.79,3.86,2.43,70.64,11.36,7.64,64.79
HAVAN,ASCENT,199.73,15.24,14.09,6.01,1.16,128.98,24.3,59.71,9.21,10.36,3.68,3.42,1.47,0.45,0.5,12.57,4.36,0.79,0.21,1.07,0.5,0.14,0.07,0.0,6.14,2.86,17.93,0.87,1.79,0.09,0.93,0.21,0.29,0.57,0.0,1.0,0.0,0.0,0.93,0.0,0.07,0.0,1.0,0.0,11.0,9.64,6.29,4.5,4.36,4.93,20.64,52.97,54.07,52.42,1.0,2.0,50.0,3.93,1.57,41.79,1.21,0.14,5.36,3.5,1.79,40.43,12.0,7.5,60.21
HAVAN,BIND,198.8,15.28,15.48,5.8,-0.2,125.8,26.28,53.88,11.8,10.6,3.42,3.38,1.34,0.55,0.46,16.8,2.7,0.5,0.1,1.0,0.7,0.0,0.0,0.0,6.7,2.9,20.1,0.9,1.7,0.07,0.3,1.0,0.2,0.7,0.0,0.7,0.3,0.0,0.8,0.0,0.0,0.0,1.0,0.0,11.2,11.2,6.6,3.8,3.9,6.7,22.4,50.85,62.17,37.92,0.9,2.0,45.0,3.0,0.9,38.2,1.4,0.3,15.8,4.1,1.9,50.4,13.9,8.1,55.8
HAVAN,HAVEN,204.01,14.34,13.91,5.31,0.44,128.98,25.15,57.31,10.59,10.0,3.54,3.35,1.29,0.52,0.48,13.06,4.12,0.59,0.0,1.18,0.47,0.0,0.0,0.0,8.06,2.12,17.76,0.88,1.65,0.08,0.71,0.29,0.65,0.35,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10.29,10.24,5.0,5.35,4.94,4.65,20.53,50.73,48.1,49.93,0.76,2.0,38.24,3.29,1.0,34.12,1.35,0.18,10.76,3.24,1.76,62.24,12.65,7.35,56.71
HAVAN,ICEBOX,204.8,16.1,17.7,4.4,-1.6,125.73,19.5,50.9,13.0,10.0,3.5,3.86,0.96,0.57,0.43,16.0,4.5,0.5,0.0,1.5,1.0,0.0,0.0,0.0,9.0,1.5,21.0,0.91,2.5,0.11,1.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,10.0,13.0,2.5,9.5,7.5,3.5,23.0,43.48,20.84,68.18,1.5,2.0,75.0,3.5,1.5,41.5,2.0,0.0,0.0,4.5,2.0,42.5,13.0,6.5,49.5
HAVAN,SPLIT,208.67,14.27,12.73,4.93,1.53,133.18,21.87,56.6,11.33,7.67,3.69,3.42,1.27,0.58,0.42,13.67,4.67,0.67,0.67,1.0,0.33,0.33,0.0,0.0,5.67,1.33,19.67,1.02,1.67,0.08,0.67,1.0,0.33,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.67,9.33,5.67,6.33,4.0,3.0,19.0,48.55,47.22,51.39,1.67,2.0,83.33,3.33,1.67,53.0,1.0,0.0,0.0,3.33,1.0,23.33,11.33,7.0,48.0
IMP,ASCENT,199.27,14.8,15.02,5.07,-0.22,127.55,22.32,52.24,10.71,10.59,3.46,3.54,1.19,0.5,0.51,13.29,3.71,0.82,0.12,0.82,0.76,0.18,0.0,0.0,6.76,2.12,17.94,0.84,1.76,0.08,0.88,0.65,0.0,0.12,0.0,1.0,0.0,0.0,0.53,0.35,0.47,0.0,1.0,0.0,10.47,10.82,5.29,4.94,4.94,5.53,21.29,48.67,51.8,44.16,1.06,2.0,52.94,3.12,1.06,42.53,1.59,0.35,15.29,4.82,2.35,44.53,11.76,6.71,55.41
IMP,BIND,202.84,15.07,14.52,5.51,0.54,128.78,22.7,52.66,11.28,10.28,3.53,3.35,1.3,0.54,0.47,14.28,3.61,1.22,0.0,1.11,0.39,0.22,0.0,0.0,7.89,2.11,19.11,0.9,1.72,0.09,0.94,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.06,0.0,0.0,1.0,0.0,11.44,10.11,5.17,5.61,5.94,4.39,21.56,54.23,50.55,58.68,1.06,2.0,52.78,3.11,1.11,42.94,1.72,0.11,4.61,3.94,2.72,73.0,12.78,7.5,58.0
IMP,HAVEN,205.85,16.18,14.89,5.15,1.29,129.33,22.36,51.55,11.09,11.64,3.56,3.27,1.13,0.49,0.51,14.27,5.36,0.82,0.09,0.64,0.64,0.18,0.0,0.0,8.09,3.82,20.55,0.91,1.45,0.07,1.0,0.18,0.09,0.73,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12.27,10.45,6.55,5.36,5.09,4.82,22.73,54.2,55.1,52.56,1.36,2.0,68.18,2.82,1.55,62.09,1.45,0.27,10.55,4.27,2.27,47.64,14.18,8.18,57.18
IMP,ICEBOX,190.3,14.2,16.95,4.75,-2.75,124.88,21.1,48.5,9.0,12.75,3.16,3.98,1.08,0.39,0.61,12.25,4.25,0.25,0.0,1.0,0.75,0.0,0.25,0.0,8.5,2.5,16.75,0.74,2.0,0.1,0.75,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.25,0.75,0.75,0.0,0.75,0.25,9.5,12.25,3.75,5.0,5.25,6.0,21.75,41.22,38.69,45.83,0.5,2.0,25.0,3.75,0.5,14.5,1.5,0.25,12.5,4.25,2.0,46.75,12.25,6.75,51.75
IMP,SPLIT,214.22,14.63,12.62,3.97,2.02,128.76,17.93,55.35,10.42,9.08,3.82,3.17,1.05,0.55,0.45,13.75,4.25,0.5,0.25,1.25,0.42,0.0,0.0,0.0,5.83,2.25,18.75,0.98,1.67,0.08,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11.17,8.33,6.25,4.0,4.58,4.17,19.5,58.98,59.44,59.48,1.08,2.0,54.17,3.0,1.08,46.0,0.83,0.17,8.33,4.58,2.75,62.92,11.08,7.17,61.25
