Team_x,match_id,Map,ACS,K,D,A,KD_DIFF,ADR,HS%,ECON,FK,FD,KPR,DPR,APR,FKPR,FDPR,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,PL,DE,total_mult_kill,MKPR,total_clutch,CPR,jett,raze,phoenix,reyna,yoru,omen,brimstone,viper,cypher,sage,killjoy,breach,sova,skye,Opp_Team_x,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Patch_x,total_rounds,win_rate,ct_wr,t_wr,RESULT,Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch
B4,3170,SPLIT,181.0,12.4,15.0,4.2,-2.6,114.2,18.8,49.8,9,12,2.94,3.5700000000000003,0.9900000000000001,0.43,0.5800000000000001,13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,14.0,0.6699999999999999,0.0,0.0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,NOOR,8,13,3,9,5,4,1.08,21,38.1,25.0,55.56,L,B4,0,2,0.0,4,0,0.0,2,0,0.0,2,1,50.0,13,7,54.0,NOORG2.0,1.0,1.08
B4,4806,BIND,192.8,16.0,15.6,5.8,0.4,116.92,21.6,49.6,10,14,3.34,3.26,1.2,0.4099999999999999,0.5700000000000001,14,6,1.0,1.0,1.0,2.0,0.0,0.0,0.0,10,0,22.0,0.91,3.0,0.12,0,1,1,0,0,1,0,0,1,0,0,0,1,0,paiN,11,13,3,9,8,4,1.1,24,45.83,25.0,66.67,L,B4,2,2,100.0,2,2,100.0,1,0,0.0,9,3,33.0,12,6,50.0,paiN,1.0,1.1
B4,4806,HAVEN,207.6,17.2,16.0,6.8,1.2,123.06,23.6,51.6,11,13,3.58,3.33,1.42,0.45,0.53,14,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9,3,20.0,0.82,1.0,0.04,1,0,0,1,0,1,0,0,1,0,0,0,1,0,paiN,13,11,5,7,8,4,1.1,24,54.17,41.67,66.67,W,B4,2,2,100.0,4,2,50.0,2,0,0.0,4,2,50.0,14,9,64.0,paiN,1.0,1.1
B4,4806,SPLIT,213.2,15.4,12.6,4.6,2.8,130.96,22.0,53.2,10,10,3.8499999999999996,3.1500000000000004,1.1500000000000001,0.5,0.5,14,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8,0,19.0,0.9499999999999998,1.0,0.05,1,1,0,0,0,1,0,0,1,0,0,1,0,0,paiN,13,7,3,5,10,2,1.1,20,65.0,37.5,83.33,W,B4,1,2,50.0,3,1,33.0,2,1,50.0,3,3,100.0,12,8,67.0,paiN,1.0,1.1
B4,6685,ASCENT,182.4,11.8,15.4,5.4,-3.6,125.0,18.8,45.8,7,12,3.0999999999999996,4.05,1.42,0.36,0.63,13,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,17.0,0.9,0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,GL,6,13,0,7,6,6,1.12,19,31.58,0.0,50.0,L,B4,1,2,50.0,3,1,33.0,2,0,0.0,3,1,33.0,11,4,36.0,GL,1.0,1.12
B4,6685,BIND,196.4,14.8,17.4,6.4,-2.6,125.56,23.4,49.6,11,12,3.2100000000000004,3.79,1.3800000000000001,0.4699999999999999,0.52,15,2,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4,2,19.0,0.83,2.0,0.08,0,1,1,0,0,1,0,0,0,0,0,1,1,0,GL,10,13,5,7,5,6,1.12,23,43.48,41.67,45.45,L,B4,1,2,50.0,3,1,33.0,3,2,67.0,5,3,60.0,12,4,33.0,GL,1.0,1.12
B4,12075,HAVEN,172.8,12.2,17.2,5.0,-5.0,116.32,26.4,45.6,8,13,2.9,4.09,1.19,0.39,0.6300000000000001,10,3,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6,1,13.0,0.62,4.0,0.2,1,1,0,0,0,1,0,0,1,0,0,0,1,0,Sharks,8,13,3,6,5,7,2.03,21,38.1,33.33,41.67,L,B4,0,2,0.0,4,0,0.0,2,0,0.0,4,3,75.0,11,5,45.0,Sharks,1.0,2.03
BD,2957,ASCENT,219.2,13.6,10.6,5.0,3.0,133.26,24.0,51.8,10,7,4.0,3.12,1.47,0.6000000000000001,0.42,12,5,1.0,0.0,3.0,1.0,0.0,0.0,0.0,10,2,18.0,1.0599999999999998,4.0,0.24,1,0,0,1,0,1,0,0,1,0,0,0,1,0,Gala,13,4,5,0,8,4,1.08,17,76.47,100.0,66.67,W,BD,2,2,100.0,2,2,100.0,0,0,0.0,5,5,100.0,10,6,60.0,Galaxy Boys,1.0,1.08
BD,2957,HAVEN,228.0,17.6,14.4,5.0,3.2,144.14,27.8,57.6,13,9,4.0,3.28,1.13,0.6,0.42000000000000004,16,6,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8,3,22.0,1.0,4.0,0.2,1,1,0,0,0,1,0,0,1,0,0,0,1,0,Gala,13,9,8,4,5,5,1.08,22,59.09,66.67,50.0,W,BD,0,2,0.0,4,1,25.0,0,0,0.0,1,1,100.0,17,11,65.0,Galaxy Boys,1.0,1.08
BD,2977,ASCENT,203.4,14.2,11.0,3.0,3.2,117.34,24.4,49.8,12,7,3.74,2.89,0.8,0.6300000000000001,0.37,9,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6,3,15.0,0.7800000000000001,1.0,0.05,1,0,0,1,0,1,0,0,1,0,0,0,1,0,FAKE,13,6,7,0,6,6,1.08,19,68.42,100.0,50.0,W,BD,2,2,100.0,2,2,100.0,0,0,0.0,7,3,43.0,10,8,80.0,FAKEZIN,1.0,1.08
