Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch
Jonn,reyna,143,9,11,4,-2,85.5,26,3,5,-2,6681,GLB,Inga,13,4,5,0,8,4,BIND,
ducKw0w,jett,297,18,14,2,4,170.2,28,5,0,5,6681,Inga,GLB,4,13,4,8,0,5,BIND,
dio9x,cypher,182,10,14,1,-4,108.8,26,2,2,0,6681,Inga,GLB,4,13,4,8,0,5,BIND,
jacobin,breach,148,8,13,9,-5,90.5,31,1,1,0,6681,Inga,GLB,4,13,4,8,0,5,BIND,
ceegu1N,brimstone,94,7,13,1,-6,49.2,6,0,2,-2,6681,Inga,GLB,4,13,4,8,0,5,BIND,
Pernalonga,raze,93,4,14,4,-10,66.0,6,2,2,0,6681,Inga,GLB,4,13,4,8,0,5,BIND,
dio9x,cypher,305,18,8,7,10,178.1,12,1,0,1,5280,NMDM,FKL,13,2,10,2,3,0,SPLIT,
ducKw0w,jett,273,15,8,3,7,147.2,25,4,0,4,5280,NMDM,FKL,13,2,10,2,3,0,SPLIT,
Pernalonga,raze,256,14,9,2,5,155.4,15,3,1,2,5280,NMDM,FKL,13,2,10,2,3,0,SPLIT,
ceegu1N,brimstone,230,13,10,4,3,137.3,13,3,1,2,5280,NMDM,FKL,13,2,10,2,3,0,SPLIT,
jacobin,breach,184,10,5,10,5,123.1,43,0,2,-2,5280,NMDM,FKL,13,2,10,2,3,0,SPLIT,
Quick,jett,207,9,15,3,-6,190.1,41,1,4,-3,5280,FKL,NMDM,2,13,0,3,2,10,SPLIT,
mch,omen,184,11,13,0,-2,104.3,14,0,2,-2,5280,FKL,NMDM,2,13,0,3,2,10,SPLIT,
pava,raze,148,7,14,2,-7,78.3,14,2,3,-1,5280,FKL,NMDM,2,13,0,3,2,10,SPLIT,
Khalil,cypher,146,7,14,2,-7,115.4,22,0,1,-1,5280,FKL,NMDM,2,13,0,3,2,10,SPLIT,
bld,sage,136,6,14,7,-8,88.9,32,1,1,0,5280,FKL,NMDM,2,13,0,3,2,10,SPLIT,
jacobin,raze,257,15,14,0,1,137.0,22,2,1,1,5280,NMDM,FKL,4,13,1,4,3,9,HAVEN,
Pernalonga,phoenix,225,12,13,3,-1,131.9,36,3,4,-1,5280,NMDM,FKL,4,13,1,4,3,9,HAVEN,
dio9x,sova,217,11,14,4,-3,133.4,23,0,1,-1,5280,NMDM,FKL,4,13,1,4,3,9,HAVEN,
ceegu1N,brimstone,132,7,15,4,-8,93.1,14,0,3,-3,5280,NMDM,FKL,4,13,1,4,3,9,HAVEN,
ducKw0w,cypher,112,6,15,3,-9,63.1,22,1,2,-1,5280,NMDM,FKL,4,13,1,4,3,9,HAVEN,
Quick,jett,330,22,12,2,10,179.9,17,2,2,0,5280,FKL,NMDM,13,4,9,3,4,1,HAVEN,
bld,sage,261,14,12,9,2,162.1,27,2,1,1,5280,FKL,NMDM,13,4,9,3,4,1,HAVEN,
Khalil,cypher,229,14,10,3,4,105.5,34,2,1,1,5280,FKL,NMDM,13,4,9,3,4,1,HAVEN,
mch,omen,202,14,7,3,7,131.9,15,3,0,3,5280,FKL,NMDM,13,4,9,3,4,1,HAVEN,
pava,phoenix,139,7,10,8,-3,91.5,21,2,2,0,5280,FKL,NMDM,13,4,9,3,4,1,HAVEN,
ceegu1N,omen,263,23,16,2,7,146.1,18,2,0,2,5280,NMDM,FKL,13,11,6,6,7,5,ASCENT,
ducKw0w,jett,206,20,18,2,2,128.4,18,2,4,-2,5280,NMDM,FKL,13,11,6,6,7,5,ASCENT,
jacobin,breach,179,13,19,9,-6,154.1,22,4,1,3,5280,NMDM,FKL,13,11,6,6,7,5,ASCENT,
Pernalonga,raze,179,14,17,5,-3,131.0,13,3,6,-3,5280,NMDM,FKL,13,11,6,6,7,5,ASCENT,
dio9x,cypher,121,9,17,6,-8,68.6,42,0,2,-2,5280,NMDM,FKL,13,11,6,6,7,5,ASCENT,
Quick,jett,281,23,16,3,7,166.2,19,5,3,2,5280,FKL,NMDM,11,13,5,7,6,6,ASCENT,
bld,sage,245,22,16,8,6,123.0,30,4,5,-1,5280,FKL,NMDM,11,13,5,7,6,6,ASCENT,
Khalil,cypher,194,17,15,5,2,167.0,19,0,2,-2,5280,FKL,NMDM,11,13,5,7,6,6,ASCENT,
mch,sova,189,16,15,8,1,120.1,18,3,0,3,5280,FKL,NMDM,11,13,5,7,6,6,ASCENT,
pava,omen,108,9,17,6,-8,62.4,26,1,1,0,5280,FKL,NMDM,11,13,5,7,6,6,ASCENT,
FLG1,omen,209,18,19,8,-1,136.5,39,1,1,0,5271,VK,NMDM,11,13,5,7,6,6,BIND,
NikkoLAN,jett,195,16,20,5,-4,112.0,12,2,2,0,5271,VK,NMDM,11,13,5,7,6,6,BIND,
patochovsk,raze,194,16,19,4,-3,107.8,13,7,2,5,5271,VK,NMDM,11,13,5,7,6,6,BIND,
NANZIN,sova,179,14,17,8,-3,115.9,26,1,4,-3,5271,VK,NMDM,11,13,5,7,6,6,BIND,
flainzz,cypher,126,11,16,4,-5,86.3,10,2,2,0,5271,VK,NMDM,11,13,5,7,6,6,BIND,
ducKw0w,jett,261,21,15,3,6,161.4,33,4,2,2,5271,NMDM,VK,13,11,6,6,7,5,BIND,
ceegu1N,brimstone,257,21,15,3,6,151.3,15,4,5,-1,5271,NMDM,VK,13,11,6,6,7,5,BIND,
jacobin,breach,249,23,15,9,8,150.3,37,2,2,0,5271,NMDM,VK,13,11,6,6,7,5,BIND,
dio9x,cypher,163,14,12,4,2,110.2,24,1,1,0,5271,NMDM,VK,13,11,6,6,7,5,BIND,
Pernalonga,raze,163,12,18,4,-6,92.0,17,0,3,-3,5271,NMDM,VK,13,11,6,6,7,5,BIND,
patochovsk,raze,321,23,14,4,9,196.8,12,3,1,2,5271,VK,NMDM,13,9,10,2,3,7,ASCENT,
NikkoLAN,jett,246,20,16,4,4,137.3,20,7,4,3,5271,VK,NMDM,13,9,10,2,3,7,ASCENT,
flainzz,killjoy,178,13,15,7,-2,119.0,13,2,1,1,5271,VK,NMDM,13,9,10,2,3,7,ASCENT,
NANZIN,sova,156,10,14,8,-4,103.9,19,3,0,3,5271,VK,NMDM,13,9,10,2,3,7,ASCENT,
FLG1,omen,127,11,13,5,-2,86.2,31,0,1,-1,5271,VK,NMDM,13,9,10,2,3,7,ASCENT,
Pernalonga,raze,250,18,16,4,2,152.6,18,3,5,-2,5271,NMDM,VK,9,13,7,3,2,10,ASCENT,
ceegu1N,omen,193,15,15,4,0,129.0,17,2,3,-1,5271,NMDM,VK,9,13,7,3,2,10,ASCENT,
dio9x,cypher,184,16,15,2,1,103.2,29,1,0,1,5271,NMDM,VK,9,13,7,3,2,10,ASCENT,
