Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch
pollo,reyna,115,7,16,3,-9,44.1,12,1,5,-4,14100,BD,FURI,5,13,0,6,5,7,ASCENT,
txddy,sage,305,16,6,3,10,196.7,26,2,0,2,14100,FURI,BD,13,2,10,2,3,0,ICEBOX,
Khalil,omen,276,18,6,2,12,143.3,30,2,2,0,14100,FURI,BD,13,2,10,2,3,0,ICEBOX,
Quick,reyna,271,13,13,6,0,171.6,31,2,3,-1,14100,FURI,BD,13,2,10,2,3,0,ICEBOX,
xand,jett,248,15,6,2,9,160.2,23,2,2,0,14100,FURI,BD,13,2,10,2,3,0,ICEBOX,
Nozwerr,sova,176,10,9,6,1,111.8,15,0,0,0,14100,FURI,BD,13,2,10,2,3,0,ICEBOX,
pollo,sage,289,14,13,3,1,186.3,32,2,0,2,14100,BD,FURI,2,13,0,3,2,10,ICEBOX,
Docks,raze,176,7,14,1,-7,124.4,9,1,1,0,14100,BD,FURI,2,13,0,3,2,10,ICEBOX,
wilfps,killjoy,159,8,14,0,-6,67.9,25,2,3,-1,14100,BD,FURI,2,13,0,3,2,10,ICEBOX,
rhamurti,skye,147,7,15,5,-8,91.7,38,1,2,-1,14100,BD,FURI,2,13,0,3,2,10,ICEBOX,
Dinttick,omen,96,4,16,3,-12,52.6,25,1,2,-1,14100,BD,FURI,2,13,0,3,2,10,ICEBOX,
xand,jett,283,28,19,5,9,184.0,24,3,3,0,14201,FURI,SHK,15,13,5,7,7,5,ICEBOX,
Quick,reyna,283,26,22,7,4,178.0,21,8,4,4,14201,FURI,SHK,15,13,5,7,7,5,ICEBOX,
Nozwerr,sova,206,19,15,6,4,128.8,7,0,1,-1,14201,FURI,SHK,15,13,5,7,7,5,ICEBOX,
Khalil,omen,177,18,16,8,2,165.1,17,3,1,2,14201,FURI,SHK,15,13,5,7,7,5,ICEBOX,
txddy,sage,155,15,22,9,-7,108.3,24,3,2,1,14201,FURI,SHK,15,13,5,7,7,5,ICEBOX,
deNaro,sova,233,20,20,13,0,155.2,14,0,1,-1,14201,SHK,FURI,13,15,5,7,7,5,ICEBOX,
gaabxx,jett,219,21,24,0,-3,134.2,33,7,8,-1,14201,SHK,FURI,13,15,5,7,7,5,ICEBOX,
prozin,raze,189,17,24,7,-7,120.6,15,1,6,-5,14201,SHK,FURI,13,15,5,7,7,5,ICEBOX,
fra,sage,186,19,19,6,0,113.3,22,1,0,1,14201,SHK,FURI,13,15,5,7,7,5,ICEBOX,
light,omen,175,17,19,6,-2,102.3,12,2,2,0,14201,SHK,FURI,13,15,5,7,7,5,ICEBOX,
mwzera,jett,347,26,15,5,11,195.9,25,4,3,1,14203,GL,FURI,9,13,4,6,5,7,ICEBOX,
fznnn,sova,279,21,15,5,6,237.4,25,2,0,2,14203,GL,FURI,9,13,4,6,5,7,ICEBOX,
Nyang,sage,203,17,11,14,6,118.9,20,1,0,1,14203,GL,FURI,9,13,4,6,5,7,ICEBOX,
Jonn,reyna,140,10,21,4,-11,95.5,46,2,8,-6,14203,GL,FURI,9,13,4,6,5,7,ICEBOX,
JhoW,omen,116,6,16,6,-10,77.5,26,1,1,0,14203,GL,FURI,9,13,4,6,5,7,ICEBOX,
Quick,reyna,353,26,16,9,10,202.3,25,5,3,2,14203,FURI,GL,13,9,7,5,6,4,ICEBOX,
Khalil,omen,221,17,17,5,0,170.7,22,1,2,-1,14203,FURI,GL,13,9,7,5,6,4,ICEBOX,
Nozwerr,sova,213,17,10,10,7,151.3,15,0,0,0,14203,FURI,GL,13,9,7,5,6,4,ICEBOX,
xand,jett,163,11,19,5,-8,103.7,21,4,4,0,14203,FURI,GL,13,9,7,5,6,4,ICEBOX,
txddy,sage,100,7,18,4,-11,61.3,19,2,1,1,14203,FURI,GL,13,9,7,5,6,4,ICEBOX,
Jonn,reyna,307,35,22,0,13,193.2,33,9,5,4,14203,GL,FURI,14,16,7,5,5,7,BIND,
fznnn,sova,225,26,18,10,8,131.6,20,1,2,-1,14203,GL,FURI,14,16,7,5,5,7,BIND,
Nyang,killjoy,212,18,20,5,-2,142.7,20,2,2,0,14203,GL,FURI,14,16,7,5,5,7,BIND,
mwzera,raze,165,16,24,8,-8,117.4,15,2,6,-4,14203,GL,FURI,14,16,7,5,5,7,BIND,
JhoW,omen,164,17,20,7,-3,111.6,21,0,1,-1,14203,GL,FURI,14,16,7,5,5,7,BIND,
xand,jett,221,22,23,4,-1,135.6,27,7,5,2,14203,FURI,GL,16,14,7,5,5,7,BIND,
Nozwerr,sova,219,24,22,7,2,142.5,9,1,3,-2,14203,FURI,GL,16,14,7,5,5,7,BIND,
Quick,raze,217,23,23,4,0,122.5,30,5,3,2,14203,FURI,GL,16,14,7,5,5,7,BIND,
Khalil,omen,183,20,20,6,0,119.9,29,0,2,-2,14203,FURI,GL,16,14,7,5,5,7,BIND,
txddy,breach,163,15,24,15,-9,104.7,13,3,1,2,14203,FURI,GL,16,14,7,5,5,7,BIND,
Quick,raze,310,15,12,7,3,202.9,15,1,2,-1,15738,FURI,Inga,13,2,10,2,3,0,ASCENT,
txddy,killjoy,297,17,6,5,11,184.7,20,2,1,1,15738,FURI,Inga,13,2,10,2,3,0,ASCENT,
xand,jett,257,14,11,2,3,119.6,11,6,1,5,15738,FURI,Inga,13,2,10,2,3,0,ASCENT,
Nozwerr,sova,231,13,6,7,7,140.1,14,1,0,1,15738,FURI,Inga,13,2,10,2,3,0,ASCENT,
Khalil,omen,125,9,6,6,3,61.1,40,0,1,-1,15738,FURI,Inga,13,2,10,2,3,0,ASCENT,
