Player,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,Map,Num_maps,Patch
txddy,261,17,10,5,7,151.1,18,1,3,-2,4906,Mix,VKS,MATCH,1,1.11
Evilkyk,244,15,8,7,7,149.5,14,3,2,1,4906,Mix,VKS,MATCH,1,1.11
tuyz,204,12,9,3,3,126.6,24,1,1,0,4906,Mix,VKS,MATCH,1,1.11
rst,131,11,9,2,2,83.1,23,0,0,0,4906,Mix,VKS,MATCH,1,1.11
Biscoit1n,241,56,46,3,10,134.0,18,15,11,4,4702,Mix,FF,MATCH,3,1.1
tuyz,231,51,43,16,8,139.4,19,2,6,-4,4702,Mix,FF,MATCH,3,1.1
rst,203,51,41,7,10,124.4,23,5,8,-3,4702,Mix,FF,MATCH,3,1.1
txddy,181,38,46,16,-8,113.2,19,7,4,3,4702,Mix,FF,MATCH,3,1.1
Evilkyk,148,30,40,18,-10,108.3,15,2,5,-3,4702,Mix,FF,MATCH,3,1.1
fzkk,230,47,51,19,-4,144.3,13,14,13,1,4702,FF,Mix,MATCH,3,1.1
krain,201,47,41,25,6,119.9,12,6,1,5,4702,FF,Mix,MATCH,3,1.1
v1xen,181,43,46,20,-3,108.8,25,5,7,-2,4702,FF,Mix,MATCH,3,1.1
dragonite,176,40,41,15,-1,108.0,16,3,1,2,4702,FF,Mix,MATCH,3,1.1
delevingne,172,38,49,13,-11,112.6,12,6,9,-3,4702,FF,Mix,MATCH,3,1.1
Biscoit1n,236,53,55,18,-2,133.9,24,10,10,0,4700,Mix,C,MATCH,3,1.1
tuyz,214,52,53,5,-1,131.4,20,6,5,1,4700,Mix,C,MATCH,3,1.1
Evilkyk,213,49,47,22,2,142.2,16,7,7,0,4700,Mix,C,MATCH,3,1.1
txddy,179,39,42,19,-3,120.3,20,9,5,4,4700,Mix,C,MATCH,3,1.1
rst,178,48,45,15,3,102.7,19,7,3,4,4700,Mix,C,MATCH,3,1.1
gustt1nha,254,59,48,24,11,172.3,23,5,1,4,4700,C,Mix,MATCH,3,1.1
tHeLiFeSnAkE,233,53,52,11,1,157.3,23,7,8,-1,4700,C,Mix,MATCH,3,1.1
AimGreen,209,51,43,15,8,140.2,27,9,6,3,4700,C,Mix,MATCH,3,1.1
sutecas,170,41,52,15,-11,117.3,32,7,14,-7,4700,C,Mix,MATCH,3,1.1
LEAN,140,37,49,7,-12,85.4,28,2,10,-8,4700,C,Mix,MATCH,3,1.1
tuyz,242,41,31,13,10,142.0,20,8,9,-1,4629,Mix,paiN,MATCH,3,1.1
Evilkyk,237,40,33,18,7,144.0,21,9,2,7,4629,Mix,paiN,MATCH,3,1.1
txddy,231,42,31,14,11,142.4,19,5,3,2,4629,Mix,paiN,MATCH,3,1.1
Biscoit1n,219,40,32,11,8,119.4,22,7,5,2,4629,Mix,paiN,MATCH,3,1.1
rst,156,33,28,10,5,105.2,19,2,1,1,4629,Mix,paiN,MATCH,3,1.1
kon4n,209,38,40,9,-2,130.0,25,6,6,0,4629,paiN,Mix,MATCH,3,1.1
murizzz,198,33,43,10,-10,121.7,19,7,11,-4,4629,paiN,Mix,MATCH,3,1.1
matheuzin,170,32,40,10,-8,105.1,22,3,5,-2,4629,paiN,Mix,MATCH,3,1.1
ole,152,26,39,9,-13,97.3,16,2,6,-4,4629,paiN,Mix,MATCH,3,1.1
Txozin,145,26,35,8,-9,117.4,30,2,3,-1,4629,paiN,Mix,MATCH,3,1.1
deNaro,213,16,17,6,-1,165.0,16,1,5,-4,4620,VKS,Mix,MATCH,1,1.1
gtnziN,173,13,15,3,-2,162.8,23,0,2,-2,4620,VKS,Mix,MATCH,1,1.1
cad,148,10,16,3,-6,97.2,14,3,6,-3,4620,VKS,Mix,MATCH,1,1.1
BrinkssJ,135,10,15,8,-5,170.4,17,2,0,2,4620,VKS,Mix,MATCH,1,1.1
fuzari,92,8,15,2,-7,65.3,22,0,4,-4,4620,VKS,Mix,MATCH,1,1.1
Biscoit1n,223,18,15,2,3,139.5,17,8,1,7,4620,Mix,VKS,MATCH,1,1.1
tuyz,208,15,11,5,4,136.3,24,1,3,-2,4620,Mix,VKS,MATCH,1,1.1
txddy,188,17,11,9,6,124.0,39,2,0,2,4620,Mix,VKS,MATCH,1,1.1
Evilkyk,171,14,13,7,1,81.5,32,4,1,3,4620,Mix,VKS,MATCH,1,1.1
rst,116,10,8,11,2,120.3,14,2,1,1,4620,Mix,VKS,MATCH,1,1.1
gtnziN,264,75,48,20,27,157.5,13,11,10,1,8298,VKS,IMP,MATCH,4,
sutecas,235,66,49,21,17,149.9,20,8,4,4,8298,VKS,IMP,MATCH,4,
frz,233,60,48,29,12,130.9,28,13,9,4,8298,VKS,IMP,MATCH,4,
saadhak,211,58,45,31,13,137.7,18,7,9,-2,8298,VKS,IMP,MATCH,4,
Sacy,194,55,45,30,10,134.6,26,7,1,6,8298,VKS,IMP,MATCH,4,
gustt1nha,227,61,59,16,2,148.3,18,7,9,-2,8298,IMP,VKS,MATCH,4,
Evilkyk,204,52,70,19,-18,134.4,29,6,6,0,8298,IMP,VKS,MATCH,4,
Biscoit1n,174,48,60,15,-12,114.1,18,4,8,-4,8298,IMP,VKS,MATCH,4,
rst,145,39,58,17,-19,115.4,17,7,5,2,8298,IMP,VKS,MATCH,4,
tuyz,137,35,67,11,-32,97.7,28,9,18,-9,8298,IMP,VKS,MATCH,4,
Evilkyk,246,41,30,19,11,183.7,29,6,3,3,8297,IMP,BD,MATCH,2,
tuyz,242,42,33,3,9,166.9,31,7,7,0,8297,IMP,BD,MATCH,2,
gustt1nha,216,34,36,13,-2,137.7,16,4,7,-3,8297,IMP,BD,MATCH,2,
Biscoit1n,211,34,29,12,5,129.8,30,3,6,-3,8297,IMP,BD,MATCH,2,
rst,173,28,29,12,-1,102.1,17,0,4,-4,8297,IMP,BD,MATCH,2,
pollo,223,39,35,5,4,146.0,28,13,4,9,8297,BD,IMP,MATCH,2,
bezn1,222,33,37,22,-4,150.2,24,1,1,0,8297,BD,IMP,MATCH,2,
LEozin,214,32,39,15,-7,137.7,16,8,6,2,8297,BD,IMP,MATCH,2,
rood,183,29,33,10,-4,126.5,14,4,3,1,8297,BD,IMP,MATCH,2,
wilfps,150,24,35,20,-11,92.1,17,1,6,-5,8297,BD,IMP,MATCH,2,
tuyz,316,43,25,9,18,174.6,21,14,4,10,8246,IMP,CONC,MATCH,2,1.14
gustt1nha,250,36,23,7,13,147.2,21,4,6,-2,8246,IMP,CONC,MATCH,2,1.14
Evilkyk,249,33,22,16,11,158.0,25,5,2,3,8246,IMP,CONC,MATCH,2,1.14
Biscoit1n,163,24,21,13,3,107.4,25,2,0,2,8246,IMP,CONC,MATCH,2,1.14
rst,153,24,17,13,7,127.0,20,1,1,0,8246,IMP,CONC,MATCH,2,1.14
DEK,211,33,29,1,4,121.5,18,4,8,-4,8246,CONC,IMP,MATCH,2,1.14
gTTO,186,20,31,11,-11,130.2,15,4,3,1,8246,CONC,IMP,MATCH,2,1.14
matxd,163,21,32,7,-11,114.7,12,0,4,-4,8246,CONC,IMP,MATCH,2,1.14
shawk,144,17,36,9,-19,84.6,9,3,5,-2,8246,CONC,IMP,MATCH,2,1.14
taek,133,16,32,6,-16,78.0,17,2,6,-4,8246,CONC,IMP,MATCH,2,1.14
Evilkyk,319,25,12,5,13,199.2,36,6,3,3,8236,IMP,Bimb,MATCH,1,1.14
gustt1nha,249,15,16,9,-1,170.7,26,1,2,-1,8236,IMP,Bimb,MATCH,1,1.14
tuyz,237,19,11,3,8,143.5,30,3,1,2,8236,IMP,Bimb,MATCH,1,1.14
Biscoit1n,193,17,13,6,4,119.0,24,4,1,3,8236,IMP,Bimb,MATCH,1,1.14
rst,73,6,11,3,-5,82.5,8,0,1,-1,8236,IMP,Bimb,MATCH,1,1.14
cortezia,334,23,17,5,6,187.5,17,6,4,2,8236,Bimb,IMP,MATCH,1,1.14
strnx,201,16,14,5,2,132.2,14,0,2,-2,8236,Bimb,IMP,MATCH,1,1.14
Warchaoz,198,16,14,1,2,117.1,14,2,3,-1,8236,Bimb,IMP,MATCH,1,1.14
spartaN,91,6,20,4,-14,57.1,17,0,3,-3,8236,Bimb,IMP,MATCH,1,1.14
smz,67,2,17,4,-15,56.8,8,0,2,-2,8236,Bimb,IMP,MATCH,1,1.14
rhamurti,242,34,33,14,1,153.5,21,5,5,0,9426,DLWZK,IMP,MATCH,2,2.01
BRNWOWZK1,202,25,33,14,-8,140.0,15,1,5,-4,9426,DLWZK,IMP,MATCH,2,2.01
heat,194,31,33,5,-2,122.1,36,3,7,-4,9426,DLWZK,IMP,MATCH,2,2.01
fluyr,175,23,36,12,-13,112.5,12,3,5,-2,9426,DLWZK,IMP,MATCH,2,2.01
zam,136,21,34,6,-13,96.2,20,3,5,-2,9426,DLWZK,IMP,MATCH,2,2.01
Evilkyk,321,45,24,18,21,193.3,32,12,5,7,9426,IMP,DLWZK,MATCH,2,2.01
tuyz,296,46,29,11,17,183.5,27,6,3,3,9426,IMP,DLWZK,MATCH,2,2.01
rst,178,29,22,10,7,129.7,12,2,3,-1,9426,IMP,DLWZK,MATCH,2,2.01
Biscoit1n,172,22,33,15,-11,103.0,21,6,4,2,9426,IMP,DLWZK,MATCH,2,2.01
gustt1nha,163,27,26,14,1,99.7,22,1,0,1,9426,IMP,DLWZK,MATCH,2,2.01
tuyz,270,16,18,4,-2,175.2,24,5,1,4,9260,IMP,VKS,MATCH,1,2.01
Evilkyk,193,12,16,5,-4,135.2,32,0,2,-2,9260,IMP,VKS,MATCH,1,2.01
Biscoit1n,164,10,16,3,-6,108.6,38,3,5,-2,9260,IMP,VKS,MATCH,1,2.01
gustt1nha,149,10,15,5,-5,85.9,22,0,1,-1,9260,IMP,VKS,MATCH,1,2.01
