Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch,match_id,Map
VK,4,10,40.0,17,4,24.0,4,0,0.0,16,11,69.0,84,50,60.0,Mix,5.0,1.1,4976,MATCH
Mix,6,10,60.0,14,6,43.0,9,2,22.0,33,16,48.0,65,32,49.0,VK,5.0,1.1,4976,MATCH
BD,3,4,75.0,4,3,75.0,4,1,25.0,16,8,50.0,21,7,33.0,Mix,2.0,1.1,4943,MATCH
Mix,1,4,25.0,7,1,14.0,4,1,25.0,2,0,0.0,32,24,75.0,BD,2.0,1.1,4943,MATCH
VKS,0,2,0.0,3,0,0.0,3,1,33.0,3,1,33.0,9,3,33.0,Mix,1.0,1.11,4906,MATCH
Mix,2,2,100.0,2,2,100.0,0,0,,5,3,60.0,11,8,73.0,VKS,1.0,1.11,4906,MATCH
Mix,3,6,50.0,10,4,40.0,2,0,0.0,16,9,56.0,37,20,54.0,FF,3.0,1.1,4702,MATCH
FF,3,6,50.0,8,3,38.0,5,2,40.0,14,6,43.0,38,21,55.0,Mix,3.0,1.1,4702,MATCH
Mix,3,6,50.0,9,3,33.0,5,2,40.0,15,9,60.0,40,22,55.0,NO CONTRACT,3.0,1.1,4700,MATCH
NO CONTRACT,3,6,50.0,6,3,50.0,12,0,0.0,10,8,80.0,41,22,54.0,Mix,3.0,1.1,4700,MATCH
Mix,3,6,50.0,10,3,30.0,2,1,50.0,9,7,78.0,30,20,67.0,paiN,3.0,1.1,4629,MATCH
paiN,3,6,50.0,9,4,44.0,6,2,33.0,10,4,40.0,26,10,38.0,Mix,3.0,1.1,4629,MATCH
VKS,1,2,50.0,3,1,33.0,0,0,,5,2,40.0,15,7,47.0,Mix,1.0,1.1,4620,MATCH
Mix,1,2,50.0,3,1,33.0,0,0,,3,1,33.0,17,11,65.0,VKS,1.0,1.1,4620,MATCH
VKS,6,8,75.0,9,7,78.0,7,1,14.0,12,8,67.0,51,35,69.0,IMP,4.0,,8298,MATCH
IMP,2,8,25.0,16,2,12.0,8,0,0.0,13,6,46.0,42,20,48.0,VKS,4.0,,8298,MATCH
IMP,1,4,25.0,7,1,14.0,2,0,0.0,4,3,75.0,34,23,68.0,BD,2.0,,8297,MATCH
BD,3,4,75.0,4,3,75.0,5,0,0.0,12,7,58.0,26,10,38.0,IMP,2.0,,8297,MATCH
IMP,3,4,75.0,5,3,60.0,1,0,0.0,9,9,100.0,19,14,74.0,ME CONTRATA,2.0,,8294,MATCH
ME CONTRATA,1,4,25.0,6,1,17.0,6,0,0.0,7,2,29.0,15,5,33.0,IMP,2.0,,8294,MATCH
IMP,2,4,50.0,6,3,50.0,1,0,0.0,9,7,78.0,23,16,70.0,CONCENTRA SOVA,2.0,1.14,8246,MATCH
CONCENTRA SOVA,2,4,50.0,6,2,33.0,5,1,20.0,9,3,33.0,19,7,37.0,IMP,2.0,1.14,8246,MATCH
IMP,1,2,50.0,3,1,33.0,1,1,100.0,5,3,60.0,13,8,62.0,Bimbonkers,1.0,1.14,8236,MATCH
Bimbonkers,1,2,50.0,3,1,33.0,1,0,0.0,7,5,71.0,11,3,27.0,IMP,1.0,1.14,8236,MATCH
DLWZK,1,4,25.0,7,1,14.0,4,1,25.0,15,9,60.0,16,5,31.0,IMP,2.0,2.01,9426,MATCH
IMP,3,4,75.0,6,3,50.0,2,0,0.0,13,11,85.0,21,12,57.0,DLWZK,2.0,2.01,9426,MATCH
IMP,0,2,0.0,4,0,0.0,3,0,0.0,2,0,0.0,10,6,60.0,VKS,1.0,2.01,9260,MATCH
VKS,2,2,100.0,2,2,100.0,1,1,100.0,5,3,60.0,11,7,64.0,IMP,1.0,2.01,9260,MATCH
IMP,3,4,75.0,5,3,60.0,5,0,0.0,12,8,67.0,32,18,56.0,favela aimers,2.0,2.01,9104,MATCH
favela aimers,1,4,25.0,7,2,29.0,4,0,0.0,7,5,71.0,36,18,50.0,IMP,2.0,2.01,9104,MATCH
IMP,0,2,0.0,4,0,0.0,3,0,0.0,2,0,0.0,10,6,60.0,VKS,1.0,2.01,9260,MATCH
VKS,2,2,100.0,2,2,100.0,1,1,100.0,5,3,60.0,11,7,64.0,IMP,1.0,2.01,9260,MATCH
DLWZK,1,4,25.0,7,1,14.0,4,1,25.0,15,9,60.0,16,5,31.0,IMP,2.0,2.01,9426,MATCH
IMP,3,4,75.0,6,3,50.0,2,0,0.0,13,11,85.0,21,12,57.0,DLWZK,2.0,2.01,9426,MATCH
S5,4,4,100.0,5,4,80.0,3,1,33.0,17,11,65.0,33,11,33.0,IMP,2.0,2.01,9427,MATCH
IMP,0,4,0.0,8,0,0.0,4,1,25.0,6,3,50.0,40,27,68.0,S5,2.0,2.01,9427,MATCH
IMP,1,2,50.0,3,1,33.0,0,0,,2,2,100.0,10,10,100.0,S5,1.0,2.02,10286,MATCH
S5,1,2,50.0,2,1,50.0,3,0,0.0,6,1,17.0,4,0,0.0,IMP,1.0,2.02,10286,MATCH
GLB,1,2,50.0,3,1,33.0,1,0,0.0,5,3,60.0,12,9,75.0,IMP,1.0,2.02,10306,MATCH
IMP,1,2,50.0,4,1,25.0,2,1,50.0,5,2,40.0,10,4,40.0,GLB,1.0,2.02,10306,MATCH
IMP,2,4,50.0,6,2,33.0,4,0,0.0,11,6,55.0,24,11,46.0,S5,2.0,2.02,10307,MATCH
S5,2,4,50.0,5,2,40.0,6,1,17.0,4,2,50.0,30,21,70.0,IMP,2.0,2.02,10307,MATCH
IMP,1,2,50.0,3,1,33.0,3,1,33.0,3,2,67.0,13,5,38.0,Rise,1.0,2.02,10339,MATCH
Rise,1,2,50.0,3,1,33.0,2,0,0.0,4,3,75.0,13,9,69.0,IMP,1.0,2.02,10339,MATCH
IMP,2,4,50.0,7,2,29.0,3,0,0.0,9,1,11.0,18,8,44.0,FUR,2.0,2.02,10345,MATCH
FUR,2,4,50.0,5,3,60.0,0,0,,10,9,90.0,22,14,64.0,IMP,2.0,2.02,10345,MATCH
IMP,1,2,50.0,3,1,33.0,1,0,0.0,4,2,50.0,13,10,77.0,FREEAGENTS,1.0,2.03,12072,MATCH
FREEAGENTS,1,2,50.0,3,1,33.0,0,0,,10,4,40.0,8,3,38.0,IMP,1.0,2.03,12072,MATCH
IMP,2,4,50.0,6,2,33.0,1,0,0.0,8,7,88.0,23,17,74.0,Rise,2.0,2.03,12078,MATCH
Rise,2,4,50.0,6,2,33.0,6,2,33.0,8,3,38.0,18,5,28.0,IMP,2.0,2.03,12078,MATCH
FUR,3,6,50.0,8,4,50.0,3,0,0.0,13,11,85.0,28,18,64.0,IMP,3.0,2.03,13022,MATCH
IMP,3,6,50.0,10,3,30.0,6,0,0.0,12,2,17.0,24,14,58.0,FUR,3.0,2.03,13022,MATCH
IMP,3,4,75.0,5,3,60.0,0,0,,9,6,67.0,21,17,81.0,Vammo E-Sports,2.0,2.06,16500,MATCH
Vammo E-Sports,1,4,25.0,7,1,14.0,2,0,0.0,12,4,33.0,14,4,29.0,IMP,2.0,2.06,16500,MATCH
IMP,2,4,50.0,6,2,33.0,3,1,33.0,14,9,64.0,24,8,33.0,paiN,2.0,,16754,MATCH
paiN,2,4,50.0,4,2,50.0,5,0,0.0,10,6,60.0,28,19,68.0,IMP,2.0,,16754,MATCH
VK,3,4,75.0,5,3,60.0,2,1,50.0,10,6,60.0,23,16,70.0,IMP,2.0,,16840,MATCH
IMP,1,4,25.0,7,1,14.0,4,1,25.0,10,6,60.0,19,6,32.0,VK,2.0,,16840,MATCH
