Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch
Evilkyk,sova,189,16,14,12,2,118.7,22,3,1,2,5276,Mix,novi,13,11,3,9,10,2,BIND,
Biscoit1n,jett,140,10,18,6,-8,92.4,20,3,4,-1,5276,Mix,novi,13,11,3,9,10,2,BIND,
vett,sova,221,18,14,5,4,156.7,30,2,4,-2,5276,novi,Mix,11,13,2,10,9,3,BIND,
Enjoy,raze,193,15,17,2,-2,172.7,12,1,2,-1,5276,novi,Mix,11,13,2,10,9,3,BIND,
surpriiseeee,omen,185,16,19,3,-3,114.6,25,2,3,-1,5276,novi,Mix,11,13,2,10,9,3,BIND,
phz,phoenix,161,13,19,5,-6,108.8,10,1,3,-2,5276,novi,Mix,11,13,2,10,9,3,BIND,
cooK,cypher,137,10,18,7,-8,81.9,25,2,4,-2,5276,novi,Mix,11,13,2,10,9,3,BIND,
Biscoit1n,jett,289,19,10,2,9,163.4,19,6,3,3,5276,Mix,novi,13,4,4,1,9,3,SPLIT,
Evilkyk,killjoy,231,14,8,2,6,139.2,22,3,0,3,5276,Mix,novi,13,4,4,1,9,3,SPLIT,
tuyz,raze,209,12,11,5,1,126.9,16,1,1,0,5276,Mix,novi,13,4,4,1,9,3,SPLIT,
txddy,cypher,197,13,7,2,6,90.4,19,0,0,0,5276,Mix,novi,13,4,4,1,9,3,SPLIT,
rst,omen,163,12,10,0,2,102.8,23,1,2,-1,5276,Mix,novi,13,4,4,1,9,3,SPLIT,
Enjoy,breach,203,11,15,6,-4,117.1,26,0,1,-1,5276,novi,Mix,4,13,3,9,1,4,SPLIT,
surpriiseeee,sage,194,9,14,6,-5,136.6,15,3,3,0,5276,novi,Mix,4,13,3,9,1,4,SPLIT,
phz,raze,173,9,15,6,-6,105.0,18,1,2,-1,5276,novi,Mix,4,13,3,9,1,4,SPLIT,
vett,omen,145,10,13,2,-3,82.0,16,1,2,-1,5276,novi,Mix,4,13,3,9,1,4,SPLIT,
cooK,cypher,116,7,13,2,-6,133.5,20,1,3,-2,5276,novi,Mix,4,13,3,9,1,4,SPLIT,
h1d0,jett,169,7,13,1,-6,91.5,35,1,3,-2,5173,Real,Mix,0,13,0,1,0,12,SPLIT,
panzol,omen,166,7,13,0,-6,105.9,13,1,0,1,5173,Real,Mix,0,13,0,1,0,12,SPLIT,
Phobia,raze,145,5,13,1,-8,93.5,10,0,2,-2,5173,Real,Mix,0,13,0,1,0,12,SPLIT,
guiih9,killjoy,139,5,13,3,-8,89.4,11,0,3,-3,5173,Real,Mix,0,13,0,1,0,12,SPLIT,
inq,cypher,99,4,13,2,-9,51.8,6,1,2,-1,5173,Real,Mix,0,13,0,1,0,12,SPLIT,
tuyz,raze,374,19,4,3,15,235.3,20,2,2,0,5173,Mix,Real,13,0,12,0,1,0,SPLIT,
rst,omen,287,16,4,8,12,186.3,16,1,0,1,5173,Mix,Real,13,0,12,0,1,0,SPLIT,
txddy,cypher,232,11,6,5,5,141.9,19,2,0,2,5173,Mix,Real,13,0,12,0,1,0,SPLIT,
Evilkyk,killjoy,225,9,6,9,3,140.6,5,2,0,2,5173,Mix,Real,13,0,12,0,1,0,SPLIT,
Biscoit1n,jett,193,10,8,0,2,85.8,17,3,1,2,5173,Mix,Real,13,0,12,0,1,0,SPLIT,
h1d0,jett,240,16,19,1,-3,150.8,33,5,3,2,5173,Real,Mix,7,13,5,3,2,10,ASCENT,
inq,sage,166,12,15,4,-3,97.0,26,1,3,-2,5173,Real,Mix,7,13,5,3,2,10,ASCENT,
guiih9,sova,163,10,15,6,-5,109.2,19,1,1,0,5173,Real,Mix,7,13,5,3,2,10,ASCENT,
panzol,omen,135,9,16,4,-7,85.3,14,1,2,-1,5173,Real,Mix,7,13,5,3,2,10,ASCENT,
Phobia,killjoy,110,7,16,2,-9,78.5,31,1,2,-1,5173,Real,Mix,7,13,5,3,2,10,ASCENT,
Biscoit1n,jett,301,22,14,5,8,176.2,19,5,5,0,5173,Mix,Real,13,7,10,2,3,5,ASCENT,
Evilkyk,sova,301,23,9,6,14,172.0,23,2,1,1,5173,Mix,Real,13,7,10,2,3,5,ASCENT,
tuyz,sage,198,15,10,8,5,138.0,35,0,1,-1,5173,Mix,Real,13,7,10,2,3,5,ASCENT,
rst,omen,171,12,8,3,4,102.9,16,3,1,2,5173,Mix,Real,13,7,10,2,3,5,ASCENT,
txddy,cypher,139,9,13,3,-4,77.6,19,1,1,0,5173,Mix,Real,13,7,10,2,3,5,ASCENT,
Biscoit1n,jett,255,20,11,4,9,141.7,22,5,5,0,5024,Mix,FazT,13,8,4,5,9,3,BIND,
tuyz,raze,249,19,12,4,7,144.5,20,2,4,-2,5024,Mix,FazT,13,8,4,5,9,3,BIND,
Evilkyk,sova,231,16,15,10,1,125.0,15,1,0,1,5024,Mix,FazT,13,8,4,5,9,3,BIND,
txddy,cypher,219,16,14,8,2,133.5,24,3,1,2,5024,Mix,FazT,13,8,4,5,9,3,BIND,
rst,omen,137,11,9,7,2,92.2,10,0,0,0,5024,Mix,FazT,13,8,4,5,9,3,BIND,
RgLMeister,raze,263,18,15,2,3,193.0,21,1,0,1,5024,FazT,Mix,8,13,3,9,5,4,BIND,
raddy,cypher,176,12,18,3,-6,116.6,17,3,4,-1,5024,FazT,Mix,8,13,3,9,5,4,BIND,
Fxw,jett,171,12,17,1,-5,123.2,12,4,4,0,5024,FazT,Mix,8,13,3,9,5,4,BIND,
UmRastaGG,sova,165,11,16,2,-5,122.9,38,1,1,0,5024,FazT,Mix,8,13,3,9,5,4,BIND,
shok9,omen,120,8,16,5,-8,73.8,8,1,2,-1,5024,FazT,Mix,8,13,3,9,5,4,BIND,
patochovsk,brimstone,245,24,21,6,3,191.5,21,4,3,1,4976,VK,Mix,14,16,6,6,6,6,HAVEN,
