Player,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,Map,Num_maps,Patch
fra,159,20,36,4,-16,101.6,28,2,6,-4,9425,S5,VKS,MATCH,2,2.01
deNaro,157,20,31,10,-11,121.7,18,0,4,-4,9425,S5,VKS,MATCH,2,2.01
fooX,144,18,31,5,-13,108.7,26,1,1,0,9425,S5,VKS,MATCH,2,2.01
gtnziN,292,38,25,14,13,197.9,18,5,4,1,9425,VKS,S5,MATCH,2,2.01
frz,282,40,23,12,17,150.9,21,8,4,4,9425,VKS,S5,MATCH,2,2.01
Sacy,234,29,24,29,5,153.1,20,6,2,4,9425,VKS,S5,MATCH,2,2.01
saadhak,224,32,21,11,11,135.0,27,4,2,2,9425,VKS,S5,MATCH,2,2.01
sutecas,163,24,25,6,-1,98.3,40,1,2,-1,9425,VKS,S5,MATCH,2,2.01
fluyr,252,22,13,2,9,134.5,14,2,1,1,9261,DLWZK,S5,MATCH,1,2.01
BRNWOWZK1,245,16,16,7,0,147.7,12,0,1,-1,9261,DLWZK,S5,MATCH,1,2.01
rhamurti,227,12,17,12,-5,136.0,13,4,3,1,9261,DLWZK,S5,MATCH,1,2.01
heat,182,14,16,3,-2,104.4,31,3,2,1,9261,DLWZK,S5,MATCH,1,2.01
zam,157,10,14,6,-4,80.3,15,2,2,0,9261,DLWZK,S5,MATCH,1,2.01
prozin,338,20,15,6,5,207.0,15,4,1,3,9261,S5,DLWZK,MATCH,1,2.01
fooX,235,19,14,8,5,136.6,18,1,0,1,9261,S5,DLWZK,MATCH,1,2.01
fra,185,13,19,2,-6,111.3,21,1,1,0,9261,S5,DLWZK,MATCH,1,2.01
deNaro,170,14,11,6,3,101.8,29,0,0,0,9261,S5,DLWZK,MATCH,1,2.01
gaabxx,150,10,15,3,-5,89.8,22,3,9,-6,9261,S5,DLWZK,MATCH,1,2.01
aspas,262,35,34,11,1,156.9,25,11,5,6,9330,fave,S5,MATCH,2,2.01
akemy,195,30,29,2,1,133.5,25,4,3,1,9330,fave,S5,MATCH,2,2.01
cad,187,23,33,9,-10,125.1,14,1,2,-1,9330,fave,S5,MATCH,2,2.01
prince,170,23,31,11,-8,116.8,26,3,5,-2,9330,fave,S5,MATCH,2,2.01
Nether,84,13,33,3,-20,58.9,28,0,6,-6,9330,fave,S5,MATCH,2,2.01
deNaro,257,41,19,15,22,149.4,21,2,3,-1,9330,S5,fave,MATCH,2,2.01
prozin,256,33,24,14,9,142.5,21,7,6,1,9330,S5,fave,MATCH,2,2.01
gaabxx,241,30,31,15,-1,147.6,25,9,6,3,9330,S5,fave,MATCH,2,2.01
fooX,223,29,23,21,6,156.2,24,1,2,-1,9330,S5,fave,MATCH,2,2.01
fra,174,27,27,8,0,108.4,23,2,2,0,9330,S5,fave,MATCH,2,2.01
jayp,214,49,50,30,-1,137.8,22,3,8,-5,9329,Barr,S5,MATCH,3,2.01
jowzikk,203,47,58,13,-11,139.0,26,14,13,1,9329,Barr,S5,MATCH,3,2.01
chunbs,188,43,53,13,-10,132.0,26,4,8,-4,9329,Barr,S5,MATCH,3,2.01
Leox,182,41,53,18,-12,107.0,19,8,9,-1,9329,Barr,S5,MATCH,3,2.01
gbr,165,37,46,13,-9,131.2,16,1,0,1,9329,Barr,S5,MATCH,3,2.01
prozin,318,68,44,25,24,191.9,22,7,8,-1,9329,S5,Barr,MATCH,3,2.01
deNaro,219,46,41,41,5,138.2,19,6,1,5,9329,S5,Barr,MATCH,3,2.01
gaabxx,213,50,45,15,5,130.6,27,15,10,5,9329,S5,Barr,MATCH,3,2.01
fooX,193,50,47,18,3,114.3,21,6,6,0,9329,S5,Barr,MATCH,3,2.01
fra,165,46,41,8,5,105.5,23,4,5,-1,9329,S5,Barr,MATCH,3,2.01
