Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch,match_id,Map
FUR,4,6,67.0,9,4,44.0,6,1,17.0,13,5,38.0,29,16,55.0,SHK,3.0,,17754,MATCH
VKS,5,8,62.0,11,5,45.0,6,1,17.0,17,10,59.0,50,33,66.0,SHK,4.0,,17755,MATCH
SHK,3,8,38.0,12,3,25.0,8,2,25.0,19,9,47.0,45,21,47.0,VKS,4.0,,17755,MATCH
SHK,4,6,67.0,10,4,40.0,3,0,0.0,14,6,43.0,27,13,48.0,NU,3.0,,19075,MATCH
NU,2,6,33.0,9,2,22.0,2,0,0.0,9,4,44.0,34,25,74.0,SHK,3.0,,19075,MATCH
SHK,2,4,50.0,6,2,33.0,3,0,0.0,8,3,38.0,20,6,30.0,KRÃ,2.0,,19082,MATCH
KRÃ,2,4,50.0,5,2,40.0,2,0,0.0,5,3,60.0,25,21,84.0,SHK,2.0,,19082,MATCH
SHK,2,4,50.0,6,2,33.0,1,1,100.0,5,3,60.0,31,20,65.0,mato30,2.0,,24202,MATCH
mato30,2,4,50.0,6,2,33.0,4,0,0.0,8,4,50.0,25,11,44.0,SHK,2.0,,24202,MATCH
SHK,3,4,75.0,6,3,50.0,0,0,,5,3,60.0,24,20,83.0,Team Godzilla,2.0,,24214,MATCH
Team Godzilla,1,4,25.0,6,1,17.0,3,1,33.0,12,5,42.0,14,2,14.0,SHK,2.0,,24214,MATCH
SHK,2,2,100.0,3,2,67.0,2,0,0.0,5,3,60.0,13,8,62.0,NO2,1.0,,24470,MATCH
NO2,0,2,0.0,4,0,0.0,2,0,0.0,0,0,,17,10,59.0,SHK,1.0,,24470,MATCH
SHK,2,6,33.0,10,2,20.0,3,1,33.0,11,8,73.0,30,15,50.0,GLB,3.0,,24472,MATCH
GLB,4,6,67.0,7,4,57.0,3,0,0.0,16,10,62.0,28,14,50.0,SHK,3.0,,24472,MATCH
SHK,3,6,50.0,8,3,38.0,5,0,0.0,12,9,75.0,48,26,54.0,NO2,3.0,,24474,MATCH
NO2,3,6,50.0,9,3,33.0,3,1,33.0,16,8,50.0,45,23,51.0,SHK,3.0,,24474,MATCH
SHK,0,2,0.0,4,1,25.0,1,0,0.0,0,0,,15,12,80.0,SLK,1.0,,26912,MATCH
SLK,2,2,100.0,4,2,50.0,2,0,0.0,6,2,33.0,8,3,38.0,SHK,1.0,,26912,MATCH
