Player,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,match_id,Team,Opp_Team,Map,Patch
light,4,0,0.0,0.0,0,0.0,0.0,0.0,0.0,55,2,2,10305,S5,VK,HAVEN,
prozin,2,1,0.0,0.0,1,0.0,0.0,0.0,0.0,64,0,0,10305,S5,VK,HAVEN,
deNaro,3,3,0.0,0.0,0,0.0,0.0,0.0,0.0,72,4,2,10305,S5,VK,HAVEN,
gaabxx,3,2,0.0,0.0,0,0.0,0.0,0.0,0.0,51,0,0,10305,S5,VK,HAVEN,
fooX,3,2,1,0,1,0,0.0,0.0,0.0,60,1,0,9427,S5,IMP,HAVEN,
fra,2,2,0,0,0,0,0.0,0.0,0.0,39,2,0,9427,S5,IMP,HAVEN,
prozin,4,1,0,0,0,0,0.0,0.0,0.0,37,2,2,9427,S5,IMP,HAVEN,
deNaro,2,1,0,0,1,0,0.0,0.0,0.0,58,4,2,9427,S5,IMP,HAVEN,
gaabxx,3,3,0,0,0,0,0.0,0.0,0.0,51,0,2,9427,S5,IMP,HAVEN,
rst,1,2,0,1,1,0,0.0,0.0,0.0,45,3,1,9427,IMP,S5,HAVEN,
Evilkyk,5,2,0,0,0,1,0.0,0.0,0.0,76,1,1,9427,IMP,S5,HAVEN,
gustt1nha,1,2,0,0,0,1,0.0,0.0,0.0,36,7,0,9427,IMP,S5,HAVEN,
tuyz,2,5,0,0,0,0,0.0,0.0,0.0,72,1,2,9427,IMP,S5,HAVEN,
Biscoit1n,5,0,0,0,0,0,0.0,0.0,0.0,46,0,0,9427,IMP,S5,HAVEN,
fooX,4,0,0,0.0,0,0,0.0,0.0,0.0,37,2,0,9427,S5,IMP,BIND,
fra,4,0,0,0.0,0,0,0.0,0.0,0.0,32,4,0,9427,S5,IMP,BIND,
prozin,2,2,0,0.0,0,0,0.0,0.0,0.0,45,1,1,9427,S5,IMP,BIND,
deNaro,4,1,0,0.0,0,1,0.0,0.0,0.0,48,1,0,9427,S5,IMP,BIND,
