Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch
fra,killjoy,186,16,17,6,-1,103.4,18,2,1,1,10321,S5,GLB,13,11,7,5,6,6,ASCENT,
deNaro,sova,150,12,15,11,-3,105.5,26,0,2,-2,10321,S5,GLB,13,11,7,5,6,6,ASCENT,
prozin,phoenix,342,24,14,5,10,212.6,24,5,1,4,10320,S5,HL,13,7,6,2,7,5,HAVEN,
light,omen,319,24,14,6,10,182.3,23,3,0,3,10320,S5,HL,13,7,6,2,7,5,HAVEN,
gaabxx,jett,224,16,14,5,2,137.0,16,4,2,2,10320,S5,HL,13,7,6,2,7,5,HAVEN,
deNaro,sova,200,13,12,13,1,128.1,18,1,2,-1,10320,S5,HL,13,7,6,2,7,5,HAVEN,
fra,cypher,119,9,13,7,-4,68.0,33,0,2,-2,10320,S5,HL,13,7,6,2,7,5,HAVEN,
shion,sova,381,24,16,10,8,223.7,11,3,0,3,10320,HL,S5,7,13,5,7,2,6,HAVEN,
pMdr1,phoenix,195,13,19,9,-6,107.1,8,2,2,0,10320,HL,S5,7,13,5,7,2,6,HAVEN,
pleets,omen,150,10,18,4,-8,95.8,13,0,5,-5,10320,HL,S5,7,13,5,7,2,6,HAVEN,
liazzi,raze,144,9,18,5,-9,81.0,23,1,2,-1,10320,HL,S5,7,13,5,7,2,6,HAVEN,
Myssen,cypher,140,11,15,2,-4,110.6,43,1,4,-3,10320,HL,S5,7,13,5,7,2,6,HAVEN,
gaabxx,jett,421,39,19,2,20,224.6,24,8,1,7,10320,S5,HL,14,12,9,3,3,9,BIND,
deNaro,sova,236,19,16,16,3,155.2,21,2,4,-2,10320,S5,HL,14,12,9,3,3,9,BIND,
prozin,raze,202,18,18,5,0,125.4,19,3,2,1,10320,S5,HL,14,12,9,3,3,9,BIND,
light,omen,141,14,14,7,0,112.7,37,1,2,-1,10320,S5,HL,14,12,9,3,3,9,BIND,
fra,cypher,97,7,19,11,-12,66.7,10,0,3,-3,10320,S5,HL,14,12,9,3,3,9,BIND,
shion,sova,238,22,17,8,5,138.3,25,0,1,-1,10320,HL,S5,12,14,9,3,3,9,BIND,
liazzi,raze,236,19,22,1,-3,144.4,23,8,3,5,10320,HL,S5,12,14,9,3,3,9,BIND,
Myssen,cypher,212,19,21,5,-2,122.1,32,3,2,1,10320,HL,S5,12,14,9,3,3,9,BIND,
pMdr1,jett,193,20,17,1,3,112.5,20,1,5,-4,10320,HL,S5,12,14,9,3,3,9,BIND,
pleets,brimstone,83,6,20,8,-14,59.1,15,0,3,-3,10320,HL,S5,12,14,9,3,3,9,BIND,
Biscoit1n,jett,227,18,19,5,-1,153.6,32,3,1,2,10307,IMP,S5,10,13,2,9,8,4,BIND,
Evilkyk,sova,223,18,15,4,3,144.1,31,3,4,-1,10307,IMP,S5,10,13,2,9,8,4,BIND,
tuyz,raze,182,15,16,2,-1,111.0,15,1,1,0,10307,IMP,S5,10,13,2,9,8,4,BIND,
rst,cypher,175,12,16,8,-4,113.9,32,2,3,-1,10307,IMP,S5,10,13,2,9,8,4,BIND,
gustt1nha,omen,79,6,18,4,-12,64.1,22,0,5,-5,10307,IMP,S5,10,13,2,9,8,4,BIND,
prozin,raze,320,26,13,4,13,210.1,24,3,2,1,10307,S5,IMP,13,10,4,8,9,2,BIND,
fra,cypher,201,16,12,4,4,120.1,32,1,2,-1,10307,S5,IMP,13,10,4,8,9,2,BIND,
gaabxx,jett,197,15,17,2,-2,98.6,27,6,4,2,10307,S5,IMP,13,10,4,8,9,2,BIND,
light,omen,186,15,14,4,1,115.2,28,3,0,3,10307,S5,IMP,13,10,4,8,9,2,BIND,
deNaro,sova,155,12,13,6,-1,106.7,29,1,1,0,10307,S5,IMP,13,10,4,8,9,2,BIND,
tuyz,raze,196,15,16,2,-1,133.9,16,1,2,-1,10307,IMP,S5,9,13,4,8,5,5,ASCENT,
Evilkyk,sova,177,12,18,4,-6,112.2,19,1,3,-2,10307,IMP,S5,9,13,4,8,5,5,ASCENT,
rst,killjoy,171,11,16,3,-5,119.3,17,2,0,2,10307,IMP,S5,9,13,4,8,5,5,ASCENT,
Biscoit1n,jett,169,14,16,2,-2,106.1,26,2,8,-6,10307,IMP,S5,9,13,4,8,5,5,ASCENT,
gustt1nha,omen,110,9,13,4,-4,69.0,33,0,3,-3,10307,IMP,S5,9,13,4,8,5,5,ASCENT,
prozin,raze,254,20,12,4,8,143.5,13,4,1,3,10307,S5,IMP,13,9,5,5,8,4,ASCENT,
fra,killjoy,233,18,11,2,7,164.1,16,1,0,1,10307,S5,IMP,13,9,5,5,8,4,ASCENT,
gaabxx,jett,211,17,13,3,4,168.4,21,7,4,3,10307,S5,IMP,13,9,5,5,8,4,ASCENT,
light,omen,178,13,15,8,-2,164.5,20,3,1,2,10307,S5,IMP,13,9,5,5,8,4,ASCENT,
deNaro,sova,160,11,10,9,1,107.2,18,1,0,1,10307,S5,IMP,13,9,5,5,8,4,ASCENT,
Veroneze,jett,246,18,14,3,4,126.5,26,6,1,5,10305,VK,S5,6,13,4,8,2,5,HAVEN,
PryZee,raze,230,14,17,6,-3,155.2,17,0,1,-1,10305,VK,S5,6,13,4,8,2,5,HAVEN,
Zap,sova,213,13,14,6,-1,173.9,25,1,1,0,10305,VK,S5,6,13,4,8,2,5,HAVEN,
Cpx,sage,181,13,16,7,-3,96.5,26,1,3,-2,10305,VK,S5,6,13,4,8,2,5,HAVEN,
Maverick,omen,121,5,17,6,-12,90.3,26,3,2,1,10305,VK,S5,6,13,4,8,2,5,HAVEN,
deNaro,sova,309,18,13,15,5,176.6,13,1,2,-1,10305,S5,VK,13,6,5,2,8,4,HAVEN,
gaabxx,jett,231,16,14,4,2,127.9,18,2,5,-3,10305,S5,VK,13,6,5,2,8,4,HAVEN,
prozin,phoenix,225,14,13,9,1,150.1,31,3,4,-1,10305,S5,VK,13,6,5,2,8,4,HAVEN,
fra,cypher,216,15,12,4,3,123.1,9,1,0,1,10305,S5,VK,13,6,5,2,8,4,HAVEN,
light,omen,204,15,11,8,4,111.0,17,1,0,1,10305,S5,VK,13,6,5,2,8,4,HAVEN,
gaabxx,jett,233,23,20,5,3,150.2,34,6,3,3,9427,S5,IMP,13,15,6,6,6,6,HAVEN,
deNaro,sova,214,16,19,15,-3,158.8,14,1,1,0,9427,S5,IMP,13,15,6,6,6,6,HAVEN,
fooX,omen,204,22,18,3,4,155.1,19,1,1,0,9427,S5,IMP,13,15,6,6,6,6,HAVEN,
fra,cypher,201,19,23,8,-4,116.1,17,4,4,0,9427,S5,IMP,13,15,6,6,6,6,HAVEN,
prozin,phoenix,177,17,21,6,-4,106.4,26,3,4,-1,9427,S5,IMP,13,15,6,6,6,6,HAVEN,
tuyz,raze,295,25,19,11,6,186.9,33,2,0,2,9427,IMP,S5,15,13,6,6,6,6,HAVEN,
Evilkyk,sova,246,25,17,7,8,202.9,44,3,3,0,9427,IMP,S5,15,13,6,6,6,6,HAVEN,
