Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team_x,Opp_Team_x,rounds_won,rounds_lost,Map,Patch_x,total_rounds,win_rate,KPR,DPR,APR,FKPR,FDPR,RESULT,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,Team_y,Opp_Team_y,Patch_y,Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch
Nyang,omen,96,9,17,9,-8,67.5,21,1,1,0,3062,GL,VIMD,10,13,ASCENT,1.08,23,43.48,0.39,0.74,0.39,0.04,0.04,L,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28,1,1,GL,VIMD,1.08,GL,1,2,50.0,2,1,50.0,2,0,0.0,7,5,71.0,12,4,33.0,VIMDOLOL,1.0,1.08
fznnn,sova,295,18,10,11,8,184.8,25,6,1,5,3051,GL,B4,13,5,ASCENT,1.08,18,72.22,1.0,0.56,0.61,0.33,0.06,W,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,1,2,GL,B4,1.08,GL,1,2,50.0,3,1,33.0,0,0,,2,1,50.0,13,11,85.0,B4,1.0,1.08
mwzera,jett,258,16,10,3,6,132.3,4,2,0,2,3051,GL,B4,13,5,ASCENT,1.08,18,72.22,0.89,0.56,0.17,0.11,0.0,W,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,0,1,GL,B4,1.08,GL,1,2,50.0,3,1,33.0,0,0,,2,1,50.0,13,11,85.0,B4,1.0,1.08
JhoW,cypher,246,16,9,8,7,137.0,12,1,3,-2,3051,GL,B4,13,5,ASCENT,1.08,18,72.22,0.89,0.5,0.44,0.06,0.17,W,3,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,60,0,1,GL,B4,1.08,GL,1,2,50.0,3,1,33.0,0,0,,2,1,50.0,13,11,85.0,B4,1.0,1.08
Jonn,sage,185,13,9,5,4,125.7,30,2,1,1,3051,GL,B4,13,5,ASCENT,1.08,18,72.22,0.72,0.5,0.28,0.11,0.06,W,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0,0,GL,B4,1.08,GL,1,2,50.0,3,1,33.0,0,0,,2,1,50.0,13,11,85.0,B4,1.0,1.08
Nyang,omen,115,7,12,6,-5,78.5,19,1,1,0,3051,GL,B4,13,5,ASCENT,1.08,18,72.22,0.39,0.67,0.33,0.06,0.06,W,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34,2,1,GL,B4,1.08,GL,1,2,50.0,3,1,33.0,0,0,,2,1,50.0,13,11,85.0,B4,1.0,1.08
deNaro,sova,198,14,16,5,-2,119.7,8,2,2,0,2940,VKS,GL,8,13,ASCENT,1.08,21,38.1,0.67,0.76,0.24,0.1,0.1,L,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,2,0,VKS,GL,1.08,VKS,1,2,50.0,3,1,33.0,2,0,0.0,3,1,33.0,13,6,46.0,GL,1.0,1.08
gtnziN,omen,197,16,16,4,0,112.1,31,1,0,1,2940,VKS,GL,8,13,ASCENT,1.08,21,38.1,0.76,0.76,0.19,0.05,0.0,L,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,3,0,VKS,GL,1.08,VKS,1,2,50.0,3,1,33.0,2,0,0.0,3,1,33.0,13,6,46.0,GL,1.0,1.08
fuzari,killjoy,196,14,13,2,1,109.2,16,1,2,-1,2940,VKS,GL,8,13,ASCENT,1.08,21,38.1,0.67,0.62,0.1,0.05,0.1,L,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,0,1,VKS,GL,1.08,VKS,1,2,50.0,3,1,33.0,2,0,0.0,3,1,33.0,13,6,46.0,GL,1.0,1.08
cad,jett,168,14,15,1,-1,111.0,22,3,5,-2,2940,VKS,GL,8,13,ASCENT,1.08,21,38.1,0.67,0.71,0.05,0.14,0.24,L,4,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41,1,2,VKS,GL,1.08,VKS,1,2,50.0,3,1,33.0,2,0,0.0,3,1,33.0,13,6,46.0,GL,1.0,1.08
BrinkssJ,phoenix,134,8,18,9,-10,83.2,20,2,3,-1,2940,VKS,GL,8,13,ASCENT,1.08,21,38.1,0.38,0.86,0.43,0.1,0.14,L,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,0,VKS,GL,1.08,VKS,1,2,50.0,3,1,33.0,2,0,0.0,3,1,33.0,13,6,46.0,GL,1.0,1.08
mwzera,jett,282,22,13,3,9,152.1,24,4,4,0,2940,GL,VKS,13,8,ASCENT,1.08,21,61.9,1.05,0.62,0.14,0.19,0.19,W,6,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,61,1,1,GL,VKS,1.08,GL,1,2,50.0,3,1,33.0,0,0,,3,2,67.0,15,10,67.0,VKS,1.0,1.08
fznnn,sova,222,15,12,10,3,148.6,18,4,1,3,2940,GL,VKS,13,8,ASCENT,1.08,21,61.9,0.71,0.57,0.48,0.19,0.05,W,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,54,1,0,GL,VKS,1.08,GL,1,2,50.0,3,1,33.0,0,0,,3,2,67.0,15,10,67.0,VKS,1.0,1.08
Nyang,omen,220,19,13,3,6,119.2,28,2,1,1,2940,GL,VKS,13,8,ASCENT,1.08,21,61.9,0.9,0.62,0.14,0.1,0.05,W,3,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,54,4,1,GL,VKS,1.08,GL,1,2,50.0,3,1,33.0,0,0,,3,2,67.0,15,10,67.0,VKS,1.0,1.08
Jonn,sage,181,11,13,8,-2,125.0,34,2,3,-1,2940,GL,VKS,13,8,ASCENT,1.08,21,61.9,0.52,0.62,0.38,0.1,0.14,W,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,0,0,GL,VKS,1.08,GL,1,2,50.0,3,1,33.0,0,0,,3,2,67.0,15,10,67.0,VKS,1.0,1.08
JhoW,cypher,148,11,15,11,-4,100.3,11,0,0,0,2940,GL,VKS,13,8,ASCENT,1.08,21,61.9,0.52,0.71,0.52,0.0,0.0,W,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,2,1,GL,VKS,1.08,GL,1,2,50.0,3,1,33.0,0,0,,3,2,67.0,15,10,67.0,VKS,1.0,1.08
mwzera,jett,274,23,17,7,6,170.8,14,2,4,-2,2930,GL,Estral,14,12,ASCENT,1.08,26,53.85,0.88,0.65,0.27,0.08,0.15,W,7,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,60,0,1,GL,Estr,1.08,GL,0,2,0.0,4,1,25.0,2,0,0.0,1,1,100.0,19,12,63.0,Estral,1.0,1.08
Nyang,omen,215,20,21,13,-1,138.6,15,1,2,-1,2930,GL,Estral,14,12,ASCENT,1.08,26,53.85,0.77,0.81,0.5,0.04,0.08,W,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,1,0,GL,Estr,1.08,GL,0,2,0.0,4,1,25.0,2,0,0.0,1,1,100.0,19,12,63.0,Estral,1.0,1.08
fznnn,sova,212,18,17,6,1,142.1,23,2,2,0,2930,GL,Estral,14,12,ASCENT,1.08,26,53.85,0.69,0.65,0.23,0.08,0.08,W,4,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,61,2,0,GL,Estr,1.08,GL,0,2,0.0,4,1,25.0,2,0,0.0,1,1,100.0,19,12,63.0,Estral,1.0,1.08
