Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch
v1nny,cypher,161,12,15,3,-3,99.6,23,0,2,-2,3170,B4,NOOR,8,13,3,9,5,4,SPLIT,
murizzz,jett,296,24,13,3,11,216.5,17,3,1,2,3170,NOOR,B4,13,8,4,5,9,3,SPLIT,
kon4n,raze,217,16,15,5,1,125.9,24,3,3,0,3170,NOOR,B4,13,8,4,5,9,3,SPLIT,
matheuzin,cypher,198,14,14,6,0,113.0,26,6,3,3,3170,NOOR,B4,13,8,4,5,9,3,SPLIT,
Txozin,omen,153,13,10,5,3,150.0,21,0,0,0,3170,NOOR,B4,13,8,4,5,9,3,SPLIT,
ole,killjoy,118,8,12,3,-4,78.3,5,0,2,-2,3170,NOOR,B4,13,8,4,5,9,3,SPLIT,
pancada,sage,285,20,11,2,9,187.5,33,3,0,3,3170,B4,NOOR,5,13,2,4,3,9,ASCENT,
akemy,omen,249,15,12,6,3,169.9,21,0,1,-1,3170,B4,NOOR,5,13,2,4,3,9,ASCENT,
frz,sova,180,11,16,8,-5,110.2,17,0,2,-2,3170,B4,NOOR,5,13,2,4,3,9,ASCENT,
xand,jett,152,9,16,3,-7,92.8,20,5,4,1,3170,B4,NOOR,5,13,2,4,3,9,ASCENT,
v1nny,cypher,107,5,16,3,-11,71.6,19,0,3,-3,3170,B4,NOOR,5,13,2,4,3,9,ASCENT,
kon4n,sage,249,15,12,8,3,162.3,29,3,5,-2,3170,NOOR,B4,13,5,9,3,4,2,ASCENT,
murizzz,jett,223,17,13,1,4,132.0,16,2,1,1,3170,NOOR,B4,13,5,9,3,4,2,ASCENT,
Txozin,omen,215,13,12,2,1,120.6,26,1,0,1,3170,NOOR,B4,13,5,9,3,4,2,ASCENT,
ole,sova,200,13,11,6,2,124.5,10,1,1,0,3170,NOOR,B4,13,5,9,3,4,2,ASCENT,
matheuzin,cypher,200,13,12,5,1,94.2,18,3,1,2,3170,NOOR,B4,13,5,9,3,4,2,ASCENT,
patochovsk,brimstone,265,23,13,3,10,177.9,17,4,1,3,3143,FAKE,NOOR,10,13,6,5,4,8,HAVEN,
NANZIN,sova,238,20,16,7,4,135.5,22,3,0,3,3143,FAKE,NOOR,10,13,6,5,4,8,HAVEN,
GTFAFMX,breach,185,14,16,10,-2,120.2,11,1,1,0,3143,FAKE,NOOR,10,13,6,5,4,8,HAVEN,
FLG1,cypher,166,13,18,3,-5,111.3,27,1,2,-1,3143,FAKE,NOOR,10,13,6,5,4,8,HAVEN,
Tecnosh,jett,125,9,19,4,-10,74.0,8,2,8,-6,3143,FAKE,NOOR,10,13,6,5,4,8,HAVEN,
ole,sova,232,18,17,8,1,141.7,17,2,0,2,3143,NOOR,FAKE,13,10,8,4,5,6,HAVEN,
kon4n,breach,226,17,16,11,1,142.2,22,2,2,0,3143,NOOR,FAKE,13,10,8,4,5,6,HAVEN,
Txozin,omen,201,15,18,6,-3,123.0,13,1,5,-4,3143,NOOR,FAKE,13,10,8,4,5,6,HAVEN,
murizzz,jett,191,18,12,1,6,104.0,8,1,3,-2,3143,NOOR,FAKE,13,10,8,4,5,6,HAVEN,
matheuzin,cypher,184,14,16,5,-2,120.6,26,6,1,5,3143,NOOR,FAKE,13,10,8,4,5,6,HAVEN,
NANZIN,omen,248,19,13,2,6,137.7,20,2,1,1,3143,FAKE,NOOR,8,13,5,7,3,6,SPLIT,
patochovsk,raze,216,14,16,6,-2,139.3,12,2,4,-2,3143,FAKE,NOOR,8,13,5,7,3,6,SPLIT,
GTFAFMX,breach,215,16,11,5,5,134.1,15,1,0,1,3143,FAKE,NOOR,8,13,5,7,3,6,SPLIT,
FLG1,cypher,160,11,15,6,-4,111.2,45,1,1,0,3143,FAKE,NOOR,8,13,5,7,3,6,SPLIT,
Tecnosh,jett,86,7,17,1,-10,60.0,25,2,7,-5,3143,FAKE,NOOR,8,13,5,7,3,6,SPLIT,
ole,killjoy,271,21,13,6,8,150.6,15,4,0,4,3143,NOOR,FAKE,13,8,6,3,7,5,SPLIT,
kon4n,raze,248,17,10,5,7,157.3,17,3,1,2,3143,NOOR,FAKE,13,8,6,3,7,5,SPLIT,
murizzz,jett,186,13,16,4,-3,105.6,4,3,4,-1,3143,NOOR,FAKE,13,8,6,3,7,5,SPLIT,
Txozin,omen,156,12,14,10,-2,116.6,21,0,1,-1,3143,NOOR,FAKE,13,8,6,3,7,5,SPLIT,
matheuzin,cypher,131,9,14,8,-5,93.0,6,3,2,1,3143,NOOR,FAKE,13,8,6,3,7,5,SPLIT,
bld,killjoy,260,19,14,5,5,177.0,20,2,2,0,2978,FKL,NOOR,8,13,8,4,0,9,SPLIT,
cogu,jett,185,15,15,2,0,107.3,26,4,5,-1,2978,FKL,NOOR,8,13,8,4,0,9,SPLIT,
mch,omen,172,14,14,3,0,93.0,6,2,1,1,2978,FKL,NOOR,8,13,8,4,0,9,SPLIT,
bezn1,sage,140,10,16,7,-6,94.7,17,1,1,0,2978,FKL,NOOR,8,13,8,4,0,9,SPLIT,
pava,raze,126,7,17,6,-10,89.7,20,0,3,-3,2978,FKL,NOOR,8,13,8,4,0,9,SPLIT,
Txozin,omen,267,20,15,6,5,158.5,22,3,2,1,2978,NOOR,FKL,13,8,9,0,4,8,SPLIT,
matheuzin,cypher,218,17,11,10,6,148.7,35,4,1,3,2978,NOOR,FKL,13,8,9,0,4,8,SPLIT,
kon4n,raze,181,13,13,5,0,142.0,18,1,0,1,2978,NOOR,FKL,13,8,9,0,4,8,SPLIT,
ole,killjoy,170,13,12,3,1,100.5,13,1,1,0,2978,NOOR,FKL,13,8,9,0,4,8,SPLIT,
murizzz,jett,167,13,14,1,-1,92.5,33,3,5,-2,2978,NOOR,FKL,13,8,9,0,4,8,SPLIT,
mch,omen,231,16,17,2,-1,147.9,27,1,0,1,2978,FKL,NOOR,6,13,2,5,4,8,BIND,
bld,cypher,204,11,18,8,-7,134.7,24,2,2,0,2978,FKL,NOOR,6,13,2,5,4,8,BIND,
bezn1,sova,191,11,18,2,-7,111.3,17,0,2,-2,2978,FKL,NOOR,6,13,2,5,4,8,BIND,
pava,raze,184,10,16,7,-6,132.4,16,2,2,0,2978,FKL,NOOR,6,13,2,5,4,8,BIND,
cogu,jett,149,10,16,4,-6,99.2,18,1,7,-6,2978,FKL,NOOR,6,13,2,5,4,8,BIND,
murizzz,sova,368,29,9,7,20,223.0,29,5,0,5,2978,NOOR,FKL,13,6,8,4,5,2,BIND,
Txozin,brimstone,283,20,10,8,10,176.7,26,4,0,4,2978,NOOR,FKL,13,6,8,4,5,2,BIND,
ole,sage,188,13,12,10,1,106.5,7,1,2,-1,2978,NOOR,FKL,13,6,8,4,5,2,BIND,
kon4n,phoenix,181,12,11,5,1,121.8,30,1,3,-2,2978,NOOR,FKL,13,6,8,4,5,2,BIND,
matheuzin,cypher,162,11,16,6,-5,84.8,14,2,1,1,2978,NOOR,FKL,13,6,8,4,5,2,BIND,
murizzz,raze,288,22,15,5,7,179.4,20,4,3,1,5283,paiN,BD,13,10,7,4,6,6,SPLIT,
Veroneze,reyna,266,22,14,4,8,166.7,22,1,0,1,5283,paiN,BD,13,10,7,4,6,6,SPLIT,
Txozin,omen,177,15,15,2,0,97.1,31,4,3,1,5283,paiN,BD,13,10,7,4,6,6,SPLIT,
kon4n,breach,169,15,13,6,2,97.7,25,0,3,-3,5283,paiN,BD,13,10,7,4,6,6,SPLIT,
matheuzin,cypher,159,12,13,2,-1,107.0,26,3,2,1,5283,paiN,BD,13,10,7,4,6,6,SPLIT,
wilfps,cypher,247,19,18,5,1,156.7,30,4,5,-1,5283,BD,paiN,10,13,6,6,4,7,SPLIT,
bezn1,jett,201,16,19,3,-3,115.0,21,4,1,3,5283,BD,paiN,10,13,6,6,4,7,SPLIT,
rhz,breach,165,14,17,10,-3,98.7,23,0,1,-1,5283,BD,paiN,10,13,6,6,4,7,SPLIT,
LEozin,raze,147,10,18,6,-8,97.6,10,2,2,0,5283,BD,paiN,10,13,6,6,4,7,SPLIT,
rood,omen,146,11,14,6,-3,131.2,13,1,3,-2,5283,BD,paiN,10,13,6,6,4,7,SPLIT,
Veroneze,jett,388,28,10,3,18,205.7,30,9,0,9,5283,paiN,BD,13,7,9,3,4,4,ASCENT,
Txozin,omen,234,18,12,3,6,146.0,40,2,0,2,5283,paiN,BD,13,7,9,3,4,4,ASCENT,
murizzz,sova,221,15,14,8,1,155.0,38,4,3,1,5283,paiN,BD,13,7,9,3,4,4,ASCENT,
matheuzin,cypher,135,10,9,2,1,93.0,21,1,1,0,5283,paiN,BD,13,7,9,3,4,4,ASCENT,
kon4n,sage,123,9,12,8,-3,67.2,35,0,0,0,5283,paiN,BD,13,7,9,3,4,4,ASCENT,
rood,omen,266,17,15,6,2,171.3,25,2,3,-1,5283,BD,paiN,7,13,4,4,3,9,ASCENT,
bezn1,jett,199,12,17,3,-5,106.8,14,1,3,-2,5283,BD,paiN,7,13,4,4,3,9,ASCENT,
rhz,sova,160,11,16,2,-5,106.3,37,0,0,0,5283,BD,paiN,7,13,4,4,3,9,ASCENT,
LEozin,raze,145,11,15,4,-4,102.7,23,1,5,-4,5283,BD,paiN,7,13,4,4,3,9,ASCENT,
wilfps,cypher,109,6,17,2,-11,66.3,29,0,5,-5,5283,BD,paiN,7,13,4,4,3,9,ASCENT,
kon4n,phoenix,248,17,13,9,4,157.5,23,3,1,2,5273,paiN,dogz,13,8,6,3,7,5,HAVEN,
Txozin,omen,233,16,14,4,2,140.9,21,2,0,2,5273,paiN,dogz,13,8,6,3,7,5,HAVEN,
murizzz,sova,221,15,14,12,1,129.5,11,1,2,-1,5273,paiN,dogz,13,8,6,3,7,5,HAVEN,
matheuzin,cypher,200,16,12,6,4,102.9,25,2,4,-2,5273,paiN,dogz,13,8,6,3,7,5,HAVEN,
Veroneze,jett,194,17,12,4,5,129.0,20,4,2,2,5273,paiN,dogz,13,8,6,3,7,5,HAVEN,
dan,sova,253,18,14,9,4,157.3,13,2,2,0,5273,dogz,paiN,8,13,5,7,3,6,HAVEN,
toezin,raze,217,13,17,6,-4,144.4,9,1,3,-2,5273,dogz,paiN,8,13,5,7,3,6,HAVEN,
magicwow1,reyna,217,15,17,3,-2,131.0,14,3,4,-1,5273,dogz,paiN,8,13,5,7,3,6,HAVEN,
