Player,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,Map,Num_maps,Patch
Nyang,105,8,19,9,-11,64.3,27,1,5,-4,3466,GL,novi,MATCH,1,1.09
Biscoit1n,241,21,22,5,-1,147.7,20,4,4,0,3466,novi,GL,MATCH,1,1.09
Enjoy,229,21,18,4,3,133.0,12,4,1,3,3466,novi,GL,MATCH,1,1.09
kato,211,20,18,3,2,145.2,20,1,1,0,3466,novi,GL,MATCH,1,1.09
Fxz,176,16,17,3,-1,119.0,28,3,2,1,3466,novi,GL,MATCH,1,1.09
glym,132,13,19,4,-6,92.7,29,1,5,-4,3466,novi,GL,MATCH,1,1.09
mwzera,323,94,61,21,33,192.0,14,20,10,10,6687,GL,paiN,MATCH,4,1.12
Jonn,290,88,55,16,33,194.3,21,18,8,10,6687,GL,paiN,MATCH,4,1.12
fznnn,205,60,53,33,7,144.5,16,6,6,0,6687,GL,paiN,MATCH,4,1.12
Nyang,162,49,48,36,1,105.8,20,5,4,1,6687,GL,paiN,MATCH,4,1.12
JhoW,144,45,53,18,-8,92.5,16,3,6,-3,6687,GL,paiN,MATCH,4,1.12
kon4n,207,64,65,15,-1,128.5,25,3,7,-4,6687,paiN,GL,MATCH,4,1.12
Txozin,198,58,70,19,-12,123.6,20,7,7,0,6687,paiN,GL,MATCH,4,1.12
Veroneze,187,57,71,13,-14,116.7,26,8,21,-13,6687,paiN,GL,MATCH,4,1.12
murizzz,169,49,69,21,-20,104.5,20,11,10,1,6687,paiN,GL,MATCH,4,1.12
matheuzin,145,42,62,24,-20,101.5,19,5,7,-2,6687,paiN,GL,MATCH,4,1.12
mwzera,294,41,30,10,11,163.7,12,10,1,9,6685,GL,B4,MATCH,2,1.12
Jonn,247,41,27,7,14,146.6,20,10,4,6,6685,GL,B4,MATCH,2,1.12
fznnn,229,31,27,19,4,134.4,27,2,3,-1,6685,GL,B4,MATCH,2,1.12
Nyang,192,27,23,21,4,119.3,19,0,4,-4,6685,GL,B4,MATCH,2,1.12
JhoW,178,24,26,24,-2,109.0,10,2,6,-4,6685,GL,B4,MATCH,2,1.12
pancada,264,36,32,11,4,187.2,23,8,4,4,6685,B4,GL,MATCH,2,1.12
xand,222,29,33,8,-4,149.6,18,6,10,-4,6685,B4,GL,MATCH,2,1.12
frz,205,30,30,15,0,135.6,30,2,2,0,6685,B4,GL,MATCH,2,1.12
akemy,140,22,32,18,-10,80.0,17,1,2,-1,6685,B4,GL,MATCH,2,1.12
v1nny,117,16,37,7,-21,74.1,17,1,6,-5,6685,B4,GL,MATCH,2,1.12
mwzera,377,45,26,13,19,220.0,15,6,4,2,6681,GL,Inga,MATCH,2,1.12
JhoW,208,26,18,17,8,144.4,21,2,3,-1,6681,GL,Inga,MATCH,2,1.12
Jonn,201,25,24,11,1,124.5,19,5,8,-3,6681,GL,Inga,MATCH,2,1.12
Nyang,176,26,15,8,11,98.8,21,2,1,1,6681,GL,Inga,MATCH,2,1.12
fznnn,167,17,16,15,1,107.0,29,2,1,1,6681,GL,Inga,MATCH,2,1.12
ducK,247,31,27,5,4,147.8,21,6,0,6,6681,Inga,GL,MATCH,2,1.12
jacobin,206,24,29,15,-5,111.9,32,6,3,3,6681,Inga,GL,MATCH,2,1.12
dio9x,160,17,27,6,-10,104.6,17,2,3,-1,6681,Inga,GL,MATCH,2,1.12
Pernalonga,141,15,29,7,-14,92.9,11,3,3,0,6681,Inga,GL,MATCH,2,1.12
ceegu1N,110,12,27,9,-15,71.2,9,0,8,-8,6681,Inga,GL,MATCH,2,1.12
mpg,197,9,15,6,-6,132.1,17,3,2,1,4767,ANA,GL,MATCH,1,1.1
GuhRVN,197,12,14,1,-2,119.4,21,0,1,-1,4767,ANA,GL,MATCH,1,1.1
tockers,160,8,15,5,-7,94.8,14,1,0,1,4767,ANA,GL,MATCH,1,1.1
rankioshi,148,8,13,2,-5,92.8,13,4,4,0,4767,ANA,GL,MATCH,1,1.1
xikaz,82,4,14,3,-10,50.6,11,0,1,-1,4767,ANA,GL,MATCH,1,1.1
mwzera,360,20,13,3,7,181.6,11,2,0,2,4767,GL,ANA,MATCH,1,1.1
Jonn,260,15,8,2,7,167.6,26,3,3,0,4767,GL,ANA,MATCH,1,1.1
Nyang,219,16,6,9,10,190.0,28,0,1,-1,4767,GL,ANA,MATCH,1,1.1
JhoW,194,11,8,3,3,176.9,9,1,1,0,4767,GL,ANA,MATCH,1,1.1
fznnn,149,9,8,3,1,94.1,14,2,3,-1,4767,GL,ANA,MATCH,1,1.1
mwzera,252,42,33,16,9,146.7,15,5,1,4,5261,GL,Tagl,MATCH,3,1.12
fznnn,230,40,30,21,10,146.7,23,8,3,5,5261,GL,Tagl,MATCH,3,1.12
Jonn,217,40,37,5,3,123.5,26,6,7,-1,5261,GL,Tagl,MATCH,3,1.12
Nyang,168,34,33,10,1,111.5,27,4,5,-1,5261,GL,Tagl,MATCH,3,1.12
JhoW,160,28,33,14,-5,92.1,21,6,5,1,5261,GL,Tagl,MATCH,3,1.12
Slaag,215,36,43,10,-7,145.0,24,8,9,-1,5261,Tagl,GL,MATCH,3,1.12
rankioshi,214,38,35,6,3,116.3,13,7,7,0,5261,Tagl,GL,MATCH,3,1.12
xikaz,196,35,36,16,-1,124.2,22,3,4,-1,5261,Tagl,GL,MATCH,3,1.12
fells,174,30,35,19,-5,108.4,22,2,3,-1,5261,Tagl,GL,MATCH,3,1.12
rik,154,25,35,4,-10,96.3,22,1,6,-5,5261,Tagl,GL,MATCH,3,1.12
mwzera,278,48,37,9,11,167.7,19,6,5,1,5277,GL,Gala,MATCH,2,1.12
Jonn,261,41,36,11,5,173.6,31,12,5,7,5277,GL,Gala,MATCH,2,1.12
fznnn,215,36,29,11,7,121.5,22,6,3,3,5277,GL,Gala,MATCH,2,1.12
Nyang,208,34,30,19,4,121.1,20,1,2,-1,5277,GL,Gala,MATCH,2,1.12
JhoW,138,22,31,15,-9,84.3,13,1,6,-5,5277,GL,Gala,MATCH,2,1.12
axeddy,247,36,39,15,-3,162.3,12,10,7,3,5277,Gala,GL,MATCH,2,1.12
zakkv,222,37,37,18,0,130.7,17,2,3,-1,5277,Gala,GL,MATCH,2,1.12
pôti,220,38,34,13,4,133.0,21,1,3,-2,5277,Gala,GL,MATCH,2,1.12
Double,194,30,37,17,-7,121.9,18,6,6,0,5277,Gala,GL,MATCH,2,1.12
mcn,127,22,34,10,-12,84.6,12,2,7,-5,5277,Gala,GL,MATCH,2,1.12
fznnn,287,19,8,5,11,169.4,9,0,1,-1,2703,GL,Qiss,MATCH,1,1.07
mwzera,287,16,10,3,6,160.4,16,4,0,4,2703,GL,Qiss,MATCH,1,1.07
JhoW,200,14,7,3,7,116.2,13,1,0,1,2703,GL,Qiss,MATCH,1,1.07
Jonn,169,10,14,3,-4,103.7,19,4,5,-1,2703,GL,Qiss,MATCH,1,1.07
Nyang,152,10,7,6,3,85.9,24,2,0,2,2703,GL,Qiss,MATCH,1,1.07
vett,240,12,13,5,-1,153.8,20,0,0,0,2703,Qiss,GL,MATCH,1,1.07
rafz,240,13,13,3,0,159.1,31,2,1,1,2703,Qiss,GL,MATCH,1,1.07
one1,160,8,16,3,-8,97.6,9,1,3,-2,2703,Qiss,GL,MATCH,1,1.07
mpg,134,7,14,1,-7,84.2,11,2,5,-3,2703,Qiss,GL,MATCH,1,1.07
doodlez,107,6,13,2,-7,71.3,21,1,2,-1,2703,Qiss,GL,MATCH,1,1.07
cad,224,17,17,3,0,131.9,18,1,1,0,2737,VKS,GL,MATCH,1,1.07
fuzari,214,17,15,4,2,114.5,32,2,1,1,2737,VKS,GL,MATCH,1,1.07
deNaro,193,16,16,6,0,125.5,22,2,4,-2,2737,VKS,GL,MATCH,1,1.07
BrinkssJ,173,11,14,13,-3,125.4,25,1,0,1,2737,VKS,GL,MATCH,1,1.07
gtnziN,158,10,19,5,-9,105.6,24,3,7,-4,2737,VKS,GL,MATCH,1,1.07
JhoW,282,24,11,7,13,168.6,14,3,3,0,2737,GL,VKS,MATCH,1,1.07
mwzera,223,18,15,4,3,133.6,12,5,2,3,2737,GL,VKS,MATCH,1,1.07
Jonn,202,13,18,9,-5,120.1,33,1,2,-1,2737,GL,VKS,MATCH,1,1.07
Nyang,172,14,12,11,2,97.3,23,1,1,0,2737,GL,VKS,MATCH,1,1.07
fznnn,166,12,15,8,-3,117.1,13,3,1,2,2737,GL,VKS,MATCH,1,1.07
fznnn,231,15,14,6,1,126.4,32,1,3,-2,2712,GL,VIMD,MATCH,1,1.07
mwzera,204,15,17,5,-2,113.4,21,1,2,-1,2712,GL,VIMD,MATCH,1,1.07
Jonn,203,13,17,2,-4,109.5,37,3,1,2,2712,GL,VIMD,MATCH,1,1.07
JhoW,138,9,17,2,-8,78.1,8,2,1,1,2712,GL,VIMD,MATCH,1,1.07
Nyang,129,7,17,6,-10,92.0,18,3,2,1,2712,GL,VIMD,MATCH,1,1.07
Sacy,334,26,10,5,16,182.5,17,4,1,3,2712,VIMD,GL,MATCH,1,1.07
pollo,288,20,13,5,7,169.2,19,4,4,0,2712,VIMD,GL,MATCH,1,1.07
pepa,250,16,12,8,4,175.6,20,0,0,0,2712,VIMD,GL,MATCH,1,1.07
Masu,179,11,10,9,1,108.6,18,0,2,-2,2712,VIMD,GL,MATCH,1,1.07
prozin,175,9,14,10,-5,111.6,10,1,3,-2,2712,VIMD,GL,MATCH,1,1.07
Jonn,259,58,53,17,5,159.1,26,9,5,4,2744,GL,FF,MATCH,3,1.08
mwzera,208,51,53,9,-2,130.6,13,12,9,3,2744,GL,FF,MATCH,3,1.08
fznnn,182,42,44,19,-2,115.3,18,2,10,-8,2744,GL,FF,MATCH,3,1.08
JhoW,153,35,52,16,-17,113.3,12,7,6,1,2744,GL,FF,MATCH,3,1.08
Nyang,109,24,49,26,-25,85.8,10,2,4,-2,2744,GL,FF,MATCH,3,1.08
fzkk,253,53,45,25,8,162.9,16,8,11,-3,2744,FF,GL,MATCH,3,1.08
v1xen,220,54,42,22,12,132.4,17,7,6,1,2744,FF,GL,MATCH,3,1.08
krain,212,50,36,19,14,132.4,18,4,2,2,2744,FF,GL,MATCH,3,1.08
delevingne,204,46,50,20,-4,138.5,20,11,7,4,2744,FF,GL,MATCH,3,1.08
dragonite,189,46,40,16,6,120.7,23,4,6,-2,2744,FF,GL,MATCH,3,1.08
Leox,236,57,50,19,7,155.5,13,13,10,3,2764,DG,GL,MATCH,2,1.08
francez,216,60,55,11,5,133.6,25,8,4,4,2764,DG,GL,MATCH,2,1.08
Veroneze,215,55,53,12,2,136.1,22,14,14,0,2764,DG,GL,MATCH,2,1.08
Khalil,170,39,54,25,-15,110.0,13,4,4,0,2764,DG,GL,MATCH,2,1.08
JotaM,165,45,45,30,0,127.8,21,1,2,-1,2764,DG,GL,MATCH,2,1.08
mwzera,253,66,55,7,11,154.7,14,16,12,4,2764,GL,DG,MATCH,2,1.08
Jonn,222,58,55,26,3,146.7,24,7,7,0,2764,GL,DG,MATCH,2,1.08
fznnn,200,45,49,39,-4,141.9,23,5,9,-4,2764,GL,DG,MATCH,2,1.08
JhoW,191,47,49,25,-2,124.1,16,2,6,-4,2764,GL,DG,MATCH,2,1.08
Nyang,147,40,48,20,-8,94.3,19,4,6,-2,2764,GL,DG,MATCH,2,1.08
mwzera,355,53,28,13,25,197.7,15,3,0,3,10261,GL,Urub,MATCH,2,2.02
Jonn,269,41,29,14,12,163.0,27,11,5,6,10261,GL,Urub,MATCH,2,2.02
fznnn,221,30,26,15,4,126.0,24,6,2,4,10261,GL,Urub,MATCH,2,2.02
